home_city,work_city,all_worker_ratio,low_income_worker_ratio,medium_income_worker_ratio,high_income_worker_ratio
Aliso Viejo,Adelanto,0,0,0,0
Aliso Viejo,Agoura Hills,0.0291,0,0.0432,0.0302
Aliso Viejo,Alhambra,0.0484,0.0721,0.0864,0.0302
Aliso Viejo,Aliso Viejo,7.43,11.648,6.073,7.021
Aliso Viejo,Anaheim,3.3856,3.8226,3.7821,3.1557
Aliso Viejo,Apple Valley,0.0387,0.0721,0,0.0453
Aliso Viejo,Arcadia,0.1211,0.2164,0.1729,0.083
Aliso Viejo,Artesia,0.0194,0.0361,0.0216,0.0151
Aliso Viejo,Azusa,0.063,0.1442,0.0432,0.0528
Aliso Viejo,Baldwin Park,0.0387,0,0.0648,0.0377
Aliso Viejo,Banning,0,0,0,0
Aliso Viejo,Barstow,0,0,0,0
Aliso Viejo,Beaumont,0.0048,0.0361,0,0
Aliso Viejo,Bell,0.0339,0,0.0864,0.0226
Aliso Viejo,Bell Gardens,0.0097,0,0.0216,0.0075
Aliso Viejo,Bellflower,0.0775,0.0721,0.1081,0.0679
Aliso Viejo,Beverly Hills,0.1695,0.1442,0.1513,0.1812
Aliso Viejo,Big Bear Lake,0,0,0,0
Aliso Viejo,Blythe,0,0,0,0
Aliso Viejo,Bradbury,0,0,0,0
Aliso Viejo,Brawley,0,0,0,0
Aliso Viejo,Brea,0.2373,0.2164,0.1945,0.2567
Aliso Viejo,Buena Park,0.2422,0.2885,0.281,0.2189
Aliso Viejo,Burbank,0.3439,0.7212,0.2377,0.302
Aliso Viejo,Calabasas,0.0533,0.1442,0.0864,0.0226
Aliso Viejo,Calexico,0.0048,0.0361,0,0
Aliso Viejo,Calimesa,0,0,0,0
Aliso Viejo,Calipatria,0,0,0,0
Aliso Viejo,Camarillo,0.0242,0,0.0432,0.0226
Aliso Viejo,Canyon Lake,0,0,0,0
Aliso Viejo,Carlsbad,0.2955,0.2885,0.281,0.302
Aliso Viejo,Carson,0.1937,0.1803,0.0648,0.2416
Aliso Viejo,Cathedral City,0.0097,0.0361,0.0216,0
Aliso Viejo,Cerritos,0.247,0.2885,0.1513,0.2718
Aliso Viejo,Chino,0.155,0.1082,0.1081,0.1812
Aliso Viejo,Chino Hills,0.0484,0.0361,0.0216,0.0604
Aliso Viejo,Chula Vista,0.1114,0.1442,0.1081,0.1057
Aliso Viejo,Claremont,0.0436,0.1082,0.0432,0.0302
Aliso Viejo,Coachella,0.0048,0.0361,0,0
Aliso Viejo,Colton,0.0291,0.0361,0.0648,0.0151
Aliso Viejo,Commerce,0.1211,0.2164,0.0432,0.1283
Aliso Viejo,Compton,0.0436,0.0361,0.0432,0.0453
Aliso Viejo,Corona,0.4117,0.577,0.3458,0.4001
Aliso Viejo,Coronado,0.0097,0,0.0216,0.0075
Aliso Viejo,Costa Mesa,4.1994,3.498,4.1279,4.3711
