home_city,work_city,all_worker_ratio,low_income_worker_ratio,medium_income_worker_ratio,high_income_worker_ratio
Brea,Adelanto,0.0145,0,0.0532,0
Brea,Agoura Hills,0.0241,0,0.0355,0.0255
Brea,Alhambra,0.2026,0.3322,0.195,0.1698
Brea,Aliso Viejo,0.2846,0.2718,0.195,0.3311
Brea,Anaheim,7.1198,7.3996,8.5284,6.3667
Brea,Apple Valley,0.0096,0,0.0355,0
Brea,Arcadia,0.3039,0.4832,0.3369,0.2377
Brea,Artesia,0.1061,0,0.1241,0.1273
Brea,Azusa,0.2991,0.2718,0.3014,0.3056
Brea,Baldwin Park,0.3425,0.2114,0.2128,0.4414
Brea,Banning,0.0048,0,0.0177,0
Brea,Barstow,0.0145,0.0604,0.0177,0
Brea,Beaumont,0.0145,0.0302,0,0.017
Brea,Bell,0.1109,0.151,0.0887,0.1104
Brea,Bell Gardens,0.0868,0.0906,0.1241,0.0679
Brea,Bellflower,0.2171,0.2114,0.1064,0.2716
Brea,Beverly Hills,0.2557,0.3322,0.1773,0.2716
Brea,Big Bear Lake,0.0241,0.0604,0.0177,0.017
Brea,Blythe,0,0,0,0
Brea,Bradbury,0,0,0,0
Brea,Brawley,0.0048,0,0.0177,0
Brea,Brea,9.3917,12.2622,10.3723,8.1154
Brea,Buena Park,0.984,1.0571,1.117,0.8998
Brea,Burbank,0.5306,0.8457,0.3369,0.5348
Brea,Calabasas,0.0772,0.1208,0.0355,0.0849
Brea,Calexico,0.0048,0,0.0177,0
Brea,Calimesa,0,0,0,0
Brea,Calipatria,0,0,0,0
Brea,Camarillo,0.0338,0.0604,0.0177,0.034
Brea,Canyon Lake,0.0145,0,0.0177,0.017
Brea,Carlsbad,0.1013,0.0906,0.1241,0.0934
Brea,Carson,0.6753,0.5134,0.5851,0.764
Brea,Cathedral City,0.0048,0,0,0.0085
Brea,Cerritos,0.9117,0.8155,0.9043,0.9423
Brea,Chino,0.6174,0.5134,0.6383,0.6367
Brea,Chino Hills,0.2846,0.453,0.3191,0.2207
Brea,Chula Vista,0.0724,0.2114,0.0709,0.034
Brea,Claremont,0.2508,0.302,0.0887,0.3141
Brea,Coachella,0,0,0,0
Brea,Colton,0.1158,0.0906,0.1418,0.1104
Brea,Commerce,0.3955,0.3322,0.3901,0.416
Brea,Compton,0.2653,0.1812,0.2837,0.2801
Brea,Corona,0.7621,0.7551,0.6738,0.8065
Brea,Coronado,0,0,0,0
Brea,Costa Mesa,1.7655,1.8725,1.8972,1.6723
Brea,Covina,0.3907,0.6947,0.4433,0.2801
Brea,Cudahy,0.0193,0,0.0355,0.017
