home_city,work_city,all_worker_ratio,low_income_worker_ratio,medium_income_worker_ratio,high_income_worker_ratio
Buena Park,Adelanto,0.0057,0,0.0079,0.0062
Buena Park,Agoura Hills,0.0257,0.0481,0.0237,0.0187
Buena Park,Alhambra,0.1516,0.2082,0.1107,0.1618
Buena Park,Aliso Viejo,0.1688,0.0801,0.1107,0.2489
Buena Park,Anaheim,10.0601,11.5009,12.0345,7.9465
Buena Park,Apple Valley,0.0143,0.0481,0.0079,0.0062
Buena Park,Arcadia,0.143,0.1442,0.1423,0.1431
Buena Park,Artesia,0.3204,0.4645,0.3558,0.2365
Buena Park,Azusa,0.1144,0.1281,0.1265,0.0996
Buena Park,Baldwin Park,0.2117,0.0961,0.1898,0.2738
Buena Park,Banning,0.02,0,0.0316,0.0187
Buena Park,Barstow,0.0057,0.032,0,0
Buena Park,Beaumont,0.0114,0.016,0.0079,0.0124
Buena Park,Bell,0.1487,0.1602,0.166,0.1307
Buena Park,Bell Gardens,0.1344,0.1602,0.1581,0.1058
Buena Park,Bellflower,0.472,0.6888,0.34,0.4916
Buena Park,Beverly Hills,0.163,0.1121,0.1186,0.2178
Buena Park,Big Bear Lake,0.0143,0.032,0.0158,0.0062
Buena Park,Blythe,0.0086,0,0,0.0187
Buena Park,Bradbury,0,0,0,0
Buena Park,Brawley,0.0086,0.032,0.0079,0
Buena Park,Brea,1.6476,1.5377,2.0242,1.3939
Buena Park,Buena Park,6.5904,10.1714,7.9228,4.1506
Buena Park,Burbank,0.5807,0.7689,0.4507,0.6098
Buena Park,Calabasas,0.0372,0.032,0.0237,0.0498
Buena Park,Calexico,0.0057,0.032,0,0
Buena Park,Calimesa,0,0,0,0
Buena Park,Calipatria,0,0,0,0
Buena Park,Camarillo,0.0543,0.0961,0.0791,0.0187
Buena Park,Canyon Lake,0.0029,0,0.0079,0
Buena Park,Carlsbad,0.1602,0.1442,0.1581,0.168
Buena Park,Carson,0.964,0.6728,0.767,1.2321
Buena Park,Cathedral City,0.0172,0.032,0.0237,0.0062
Buena Park,Cerritos,2.0166,1.6659,2.3958,1.8544
Buena Park,Chino,0.1945,0.2403,0.1265,0.2302
Buena Park,Chino Hills,0.0715,0.1602,0.0712,0.0373
Buena Park,Chula Vista,0.0515,0.016,0.0395,0.0747
Buena Park,Claremont,0.02,0.016,0.0316,0.0124
Buena Park,Coachella,0.0057,0,0.0158,0
Buena Park,Colton,0.0543,0.016,0.0237,0.0933
Buena Park,Commerce,0.6608,0.7368,0.593,0.6845
Buena Park,Compton,0.5349,0.5446,0.6088,0.4729
Buena Park,Corona,0.4376,0.5286,0.5693,0.2987
Buena Park,Coronado,0.0114,0.016,0.0079,0.0124
Buena Park,Costa Mesa,1.9451,1.794,2.0321,1.9353
Buena Park,Covina,0.0801,0.0801,0.1186,0.0498
Buena Park,Cudahy,0.0229,0.016,0.0237,0.0249
Buena Park,Culver City,0.3089,0.5126,0.1977,0.3174
Buena Park,Cypress,1.8907,1.762,1.8581,1.9664
Buena Park,Dana Point,0.0601,0.0801,0.0633,0.0498
Buena Park,Del Mar,0.0086,0.016,0,0.0124
Buena Park,Desert Hot Springs,0.0029,0,0,0.0062
Buena Park,Diamond Bar,0.2031,0.2082,0.1977,0.2054
Buena Park,Downey,0.9125,0.8169,0.8698,0.9832
Buena Park,Duarte,0.083,0.0641,0.0553,0.112
Buena Park,Eastvale,0.02,0.032,0.0237,0.0124
Buena Park,El Cajon,0.0572,0.0641,0.0316,0.0747
Buena Park,El Centro,0.0086,0,0.0079,0.0124
Buena Park,El Monte,0.1716,0.1602,0.1581,0.1867
Buena Park,El Segundo,0.7981,0.0801,0.1581,1.5806
Buena Park,Encinitas,0.0601,0.1281,0.0474,0.0436
Buena Park,Escondido,0.1058,0.1281,0.1186,0.0871
Buena Park,Fillmore,0.0029,0,0.0079,0
Buena Park,Fontana,0.1745,0.1762,0.1186,0.2178
Buena Park,Fountain Valley,0.9926,0.849,0.854,1.1574
Buena Park,Fullerton,3.4153,4.3248,3.6135,2.906
Buena Park,Garden Grove,2.6201,3.2356,2.973,2.1033
Buena Park,Gardena,0.2517,0.1922,0.2847,0.2489
Buena Park,Glendale,0.3518,0.3364,0.3163,0.3858
Buena Park,Glendora,0.0658,0.0961,0.0395,0.0747
Buena Park,Grand Terrace,0.0057,0,0.0158,0
Buena Park,Hawaiian Gardens,0.2145,0.2723,0.3163,0.112
Buena Park,Hawthorne,0.2403,0.0961,0.174,0.3485
Buena Park,Hemet,0.0429,0.0641,0.0712,0.0124
Buena Park,Hermosa Beach,0.0572,0.0641,0.0474,0.0622
