home_city,work_city,all_worker_ratio,low_income_worker_ratio,medium_income_worker_ratio,high_income_worker_ratio
Costa Mesa,Adelanto,0.0023,0,0,0.0044
Costa Mesa,Agoura Hills,0.018,0.0136,0.028,0.0132
Costa Mesa,Alhambra,0.0721,0.1084,0.0979,0.0441
Costa Mesa,Aliso Viejo,0.8046,0.4472,0.7973,0.9255
Costa Mesa,Anaheim,3.6648,4.2954,4.1964,3.1247
Costa Mesa,Apple Valley,0.0338,0.0136,0.0769,0.0132
Costa Mesa,Arcadia,0.1014,0.1626,0.1609,0.0441
Costa Mesa,Artesia,0.0428,0.0407,0.035,0.0485
Costa Mesa,Azusa,0.0856,0.0542,0.1049,0.0837
Costa Mesa,Baldwin Park,0.0631,0.0407,0.035,0.0881
Costa Mesa,Banning,0.0023,0,0,0.0044
Costa Mesa,Barstow,0.0158,0,0.014,0.022
Costa Mesa,Beaumont,0.009,0.0407,0.007,0
Costa Mesa,Bell,0.0518,0.0542,0.0909,0.0264
Costa Mesa,Bell Gardens,0.009,0,0.021,0.0044
Costa Mesa,Bellflower,0.1059,0.122,0.1119,0.097
Costa Mesa,Beverly Hills,0.2074,0.1491,0.2098,0.2248
Costa Mesa,Big Bear Lake,0.018,0.0136,0,0.0309
Costa Mesa,Blythe,0,0,0,0
Costa Mesa,Bradbury,0.0023,0,0.007,0
Costa Mesa,Brawley,0.0135,0.0271,0.007,0.0132
Costa Mesa,Brea,0.5973,0.542,0.6155,0.6038
Costa Mesa,Buena Park,0.311,0.2981,0.3357,0.2997
Costa Mesa,Burbank,0.3787,0.5149,0.3147,0.3746
Costa Mesa,Calabasas,0.0811,0.1355,0.049,0.0837
Costa Mesa,Calexico,0.0113,0.0407,0.014,0
Costa Mesa,Calimesa,0,0,0,0
Costa Mesa,Calipatria,0,0,0,0
Costa Mesa,Camarillo,0.0902,0.0813,0.1049,0.0837
Costa Mesa,Canyon Lake,0.0045,0,0,0.0088
Costa Mesa,Carlsbad,0.2344,0.393,0.2238,0.1895
Costa Mesa,Carson,0.2637,0.1897,0.2448,0.2997
Costa Mesa,Cathedral City,0.0248,0.0271,0.014,0.0309
Costa Mesa,Cerritos,0.3877,0.3252,0.2868,0.4716
Costa Mesa,Chino,0.1465,0.1762,0.1329,0.1454
Costa Mesa,Chino Hills,0.1059,0.1491,0.0979,0.097
Costa Mesa,Chula Vista,0.0766,0.1491,0.1049,0.0353
Costa Mesa,Claremont,0.0518,0.122,0.056,0.0264
Costa Mesa,Coachella,0.0045,0.0136,0.007,0
Costa Mesa,Colton,0.027,0,0.035,0.0309
Costa Mesa,Commerce,0.1916,0.1762,0.2168,0.1807
Costa Mesa,Compton,0.1149,0.1762,0.0979,0.1058
Costa Mesa,Corona,0.4057,0.3388,0.4406,0.4055
Costa Mesa,Coronado,0.009,0.0136,0.007,0.0088
Costa Mesa,Costa Mesa,14.9094,17.981,17.0583,12.5562
Costa Mesa,Covina,0.1104,0.1626,0.1469,0.0705
Costa Mesa,Cudahy,0.0045,0,0,0.0088
Costa Mesa,Culver City,0.2389,0.393,0.2448,0.1851
Costa Mesa,Cypress,0.4282,0.4065,0.2308,0.5597
Costa Mesa,Dana Point,0.1983,0.3659,0.1958,0.1454
Costa Mesa,Del Mar,0,0,0,0
Costa Mesa,Desert Hot Springs,0.0113,0.0136,0.007,0.0132
Costa Mesa,Diamond Bar,0.0766,0.0813,0.0699,0.0793
Costa Mesa,Downey,0.1758,0.1626,0.1609,0.1895
Costa Mesa,Duarte,0.0428,0.0407,0.007,0.0661
Costa Mesa,Eastvale,0.027,0.0678,0.021,0.0176
Costa Mesa,El Cajon,0.0609,0.0678,0.056,0.0617
Costa Mesa,El Centro,0.0135,0,0.028,0.0088
Costa Mesa,El Monte,0.0834,0.0813,0.1189,0.0617
Costa Mesa,El Segundo,0.4913,0.1491,0.1958,0.7889
Costa Mesa,Encinitas,0.0766,0.0949,0.0979,0.0573
Costa Mesa,Escondido,0.151,0.1084,0.1469,0.1675
Costa Mesa,Fillmore,0.0045,0,0.007,0.0044
Costa Mesa,Fontana,0.151,0.271,0.1049,0.141
Costa Mesa,Fountain Valley,1.9902,2.1816,1.8464,2.0185
Costa Mesa,Fullerton,0.7167,0.7724,0.5595,0.7977
