home_city,work_city,all_worker_ratio,low_income_worker_ratio,medium_income_worker_ratio,high_income_worker_ratio
Cypress,Adelanto,0.0094,0,0.0328,0
Cypress,Agoura Hills,0.0375,0.114,0.0164,0.0256
Cypress,Alhambra,0.1408,0.1994,0.1641,0.1111
Cypress,Aliso Viejo,0.2112,0.2279,0.2134,0.2051
Cypress,Anaheim,6.9226,9.4302,7.6317,5.8014
Cypress,Apple Valley,0.0235,0.0285,0.0492,0.0085
Cypress,Arcadia,0.1079,0.0855,0.1149,0.1111
Cypress,Artesia,0.3802,0.6268,0.5088,0.2392
Cypress,Azusa,0.0845,0.0285,0.0656,0.1111
Cypress,Baldwin Park,0.183,0.0285,0.1969,0.2221
Cypress,Banning,0.0047,0,0.0164,0
Cypress,Barstow,0.0047,0,0.0164,0
Cypress,Beaumont,0.0141,0.0285,0,0.0171
Cypress,Bell,0.1643,0.2564,0.1805,0.1282
Cypress,Bell Gardens,0.1267,0.114,0.1805,0.1025
Cypress,Bellflower,0.6477,0.5983,0.6729,0.6494
Cypress,Beverly Hills,0.1408,0.0855,0.1149,0.1709
Cypress,Big Bear Lake,0,0,0,0
Cypress,Blythe,0.0047,0,0,0.0085
Cypress,Bradbury,0.0047,0.0285,0,0
Cypress,Brawley,0.0047,0,0,0.0085
Cypress,Brea,1.0888,1.1111,1.1653,1.0424
Cypress,Buena Park,2.1354,3.4188,2.5603,1.5294
Cypress,Burbank,0.4599,0.7123,0.4595,0.3845
Cypress,Calabasas,0.061,0.1425,0.0328,0.0513
Cypress,Calexico,0.0094,0.0285,0,0.0085
Cypress,Calimesa,0,0,0,0
Cypress,Calipatria,0,0,0,0
Cypress,Camarillo,0.0939,0.057,0.0985,0.1025
Cypress,Canyon Lake,0,0,0,0
Cypress,Carlsbad,0.1361,0.114,0.2298,0.094
Cypress,Carson,1.2766,0.7407,0.9683,1.5977
Cypress,Cathedral City,0.0047,0,0.0164,0
Cypress,Cerritos,2.2199,2.1083,2.5275,2.0933
Cypress,Chino,0.1971,0.0855,0.2462,0.2051
Cypress,Chino Hills,0.0939,0.2564,0.0656,0.0598
Cypress,Chula Vista,0.0939,0.1425,0.0985,0.0769
Cypress,Claremont,0.0469,0.057,0.0656,0.0342
Cypress,Coachella,0.0094,0,0.0328,0
Cypress,Colton,0.0375,0,0.0656,0.0342
Cypress,Commerce,0.6758,0.6268,0.6073,0.7262
Cypress,Compton,0.4506,0.3989,0.558,0.4101
Cypress,Corona,0.3614,0.3419,0.5088,0.2905
Cypress,Coronado,0.0047,0,0,0.0085
Cypress,Costa Mesa,2.3326,2.3647,2.4783,2.2471
Cypress,Covina,0.0657,0.057,0.0492,0.0769
Cypress,Cudahy,0.0235,0.0285,0,0.0342
Cypress,Culver City,0.2863,0.3989,0.2954,0.2478
Cypress,Cypress,6.0825,7.9202,5.3668,5.904
Cypress,Dana Point,0.0563,0.114,0.0164,0.0598
Cypress,Del Mar,0,0,0,0
Cypress,Desert Hot Springs,0,0,0,0
Cypress,Diamond Bar,0.2253,0.3419,0.3118,0.1452
Cypress,Downey,0.7838,0.8832,0.7221,0.7861
Cypress,Duarte,0.0563,0,0.0328,0.0854
Cypress,Eastvale,0.0235,0,0.0492,0.0171
Cypress,El Cajon,0.0751,0.0285,0.1641,0.0427
Cypress,El Centro,0.0141,0,0,0.0256
Cypress,El Monte,0.1173,0.2849,0.1313,0.0598
Cypress,El Segundo,0.9246,0.1425,0.3118,1.4781
Cypress,Encinitas,0.0516,0.057,0.0656,0.0427
Cypress,Escondido,0.0751,0,0.0492,0.1111
Cypress,Fillmore,0,0,0,0
Cypress,Fontana,0.2065,0.2564,0.2134,0.188
Cypress,Fountain Valley,1.2109,0.9687,1.0996,1.3414
Cypress,Fullerton,1.9243,2.3077,1.8546,1.8455
Cypress,Garden Grove,3.0037,3.6182,3.3973,2.6145
Cypress,Gardena,0.3332,0.1994,0.4103,0.3332
Cypress,Glendale,0.3285,0.4843,0.2626,0.3161
Cypress,Glendora,0.0939,0.0855,0.1149,0.0854
Cypress,Grand Terrace,0,0,0,0
Cypress,Hawaiian Gardens,0.3755,0.3419,0.6729,0.2307
Cypress,Hawthorne,0.2112,0.2564,0.1477,0.2307
Cypress,Hemet,0.0422,0.114,0.0328,0.0256
Cypress,Hermosa Beach,0.0329,0.0855,0.0328,0.0171
Cypress,Hesperia,0.0094,0,0.0164,0.0085
Cypress,Hidden Hills,0,0,0,0
Cypress,Highland,0,0,0,0
Cypress,Holtville,0,0,0,0
Cypress,Huntington Beach,3.3557,3.4473,2.987,3.5202
Cypress,Huntington Park,0.1314,0.1425,0.1641,0.1111
Cypress,Imperial,0,0,0,0
Cypress,Imperial Beach,0,0,0,0
Cypress,Indian Wells,0.0047,0,0,0.0085
Cypress,Indio,0.0188,0.057,0.0328,0
Cypress,Industry,0.6289,0.3989,0.6729,0.675
Cypress,Inglewood,0.183,0.2279,0.2298,0.1452
Cypress,Irvine,5.0124,3.3333,3.8405,6.1261
Cypress,Irwindale,0.0986,0.0855,0.0656,0.1196
Cypress,Jurupa Valley,0.1126,0.114,0.1969,0.0684
Cypress,La Canada Flintridge,0.0047,0.0285,0,0
Cypress,La Habra,0.4646,0.6838,0.7221,0.2649
Cypress,La Habra Heights,0.0094,0,0.0328,0
Cypress,La Mesa,0.0188,0,0.0492,0.0085
Cypress,La Mirada,0.6383,0.4558,0.837,0.5895
Cypress,La Palma,0.7556,0.7407,0.7878,0.7433
Cypress,La Puente,0.0422,0.0855,0.0656,0.0171
Cypress,La Quinta,0.0141,0.0285,0.0328,0
Cypress,La Verne,0.0563,0.114,0.0492,0.0427
Cypress,Laguna Beach,0.0375,0.0285,0.0985,0.0085
Cypress,Laguna Hills,0.2722,0.2564,0.3775,0.2221
Cypress,Laguna Niguel,0.1361,0.2279,0.0985,0.1282
Cypress,Laguna Woods,0.0469,0.0285,0.0328,0.0598
Cypress,Lake Elsinore,0.0422,0.0285,0.0656,0.0342
Cypress,Lake Forest,0.3755,0.1994,0.3775,0.4272
Cypress,Lakewood,0.7462,0.9972,0.4924,0.8031
Cypress,Lancaster,0.0657,0.2279,0.0821,0.0085
Cypress,Lawndale,0.0516,0.0285,0.0492,0.0598
Cypress,Lemon Grove,0.0141,0.0285,0,0.0171
Cypress,Loma Linda,0.0469,0.057,0.0164,0.0598
Cypress,Lomita,0.0235,0.057,0.0164,0.0171
Cypress,Long Beach,7.9223,6.2108,5.6951,9.595
Cypress,Los Alamitos,2.2669,2.1368,2.7901,2.0335
Cypress,Los Angeles,9.2411,7.0655,8.3538,10.3554
Cypress,Lynwood,0.2487,0.2279,0.1477,0.3076
Cypress,Malibu,0.0047,0,0,0.0085
Cypress,Manhattan Beach,0.1267,0.114,0.2134,0.0854
Cypress,Maywood,0.0422,0.057,0.0656,0.0256
Cypress,Menifee,0.0047,0,0.0164,0
Cypress,Mission Viejo,0.2863,0.1425,0.3775,0.282
Cypress,Monrovia,0.0986,0.0855,0.1805,0.0598
Cypress,Montclair,0.0798,0.057,0.1805,0.0342
Cypress,Montebello,0.2534,0.3419,0.3282,0.188
Cypress,Monterey Park,0.2347,0.057,0.2626,0.2734
Cypress,Moorpark,0.0094,0,0.0328,0
Cypress,Moreno Valley,0.0563,0.057,0.0656,0.0513
Cypress,Murrieta,0.0422,0.0285,0.0985,0.0171
Cypress,National City,0.061,0.1425,0.0164,0.0598
Cypress,Needles,0,0,0,0
Cypress,Newport Beach,1.4831,1.1396,1.6248,1.5123
Cypress,Norco,0.0422,0.0855,0.0492,0.0256
Cypress,Norwalk,0.7322,0.9117,0.8206,0.6323
Cypress,Oceanside,0.0892,0.1994,0.1149,0.0427
Cypress,Ojai,0,0,0,0
Cypress,Ontario,0.4412,0.4274,0.558,0.3845
Cypress,Orange,2.5578,2.2222,2.7901,2.5376
Cypress,Oxnard,0.1267,0.1709,0.1477,0.1025
Cypress,Palm Desert,0.0516,0.057,0.0492,0.0513
Cypress,Palm Springs,0.0422,0.0285,0.0492,0.0427
Cypress,Palmdale,0.1173,0.114,0.0821,0.1367
Cypress,Palos Verdes Estates,0.0282,0.0285,0,0.0427
Cypress,Paramount,0.4412,0.3134,0.4103,0.4956
Cypress,Pasadena,0.413,0.4558,0.2626,0.4785
Cypress,Perris,0.0375,0.0285,0.0985,0.0085
Cypress,Pico Rivera,0.2253,0.2564,0.2462,0.2051
Cypress,Placentia,0.3895,0.3704,0.2954,0.4443
Cypress,Pomona,0.1877,0.1425,0.1969,0.1965
Cypress,Port Hueneme,0.0047,0,0,0.0085
Cypress,Poway,0.0282,0.0285,0.0656,0.0085
Cypress,Rancho Cucamonga,0.2018,0.2564,0.2626,0.1538
Cypress,Rancho Mirage,0.0094,0,0.0164,0.0085
Cypress,Rancho Palos Verdes,0.0329,0.0285,0.0328,0.0342
Cypress,Rancho Santa Margarita,0.122,0.2279,0.1477,0.0769
Cypress,Redlands,0.1033,0.1709,0.1313,0.0684
Cypress,Redondo Beach,0.2863,0.2279,0.1805,0.3589
Cypress,Rialto,0.0657,0.057,0.0656,0.0684
Cypress,Riverside,0.4928,0.6838,0.6237,0.3674
Cypress,Rolling Hills,0,0,0,0
Cypress,Rolling Hills Estates,0.0047,0,0,0.0085
Cypress,Rosemead,0.1877,0.114,0.1313,0.2392
Cypress,San Bernardino,0.2675,0.2564,0.3118,0.2478
Cypress,San Buenaventura,0.0469,0.057,0.0821,0.0256
Cypress,San Clemente,0.0845,0.1709,0.1477,0.0256
Cypress,San Diego,1.0701,1.0826,0.9847,1.1107
Cypress,San Dimas,0.1455,0.0285,0.1969,0.1538
Cypress,San Fernando,0.0141,0.0285,0,0.0171
Cypress,San Gabriel,0.0282,0,0.0328,0.0342
Cypress,San Jacinto,0.0188,0.0285,0.0328,0.0085
Cypress,San Juan Capistrano,0.061,0.1425,0.0328,0.0513
Cypress,San Marcos,0.0798,0.057,0.1313,0.0598
Cypress,San Marino,0.0188,0.0285,0.0328,0.0085
Cypress,Santa Ana,4.0738,2.8205,4.4149,4.272
Cypress,Santa Clarita,0.1643,0.2564,0.2462,0.094
Cypress,Santa Fe Springs,1.4784,0.5698,1.592,1.6917
Cypress,Santa Monica,0.3849,0.2849,0.3611,0.4272
Cypress,Santa Paula,0.0094,0,0,0.0171
Cypress,Santee,0.0094,0,0.0164,0.0085
Cypress,Seal Beach,0.7838,0.9402,0.3939,0.9398
Cypress,Sierra Madre,0.0094,0.0285,0,0.0085
Cypress,Signal Hill,0.6664,0.5983,0.5416,0.7519
Cypress,Simi Valley,0.061,0.0855,0.0492,0.0598
Cypress,Solana Beach,0.0141,0.057,0,0.0085
Cypress,South El Monte,0.1877,0.2279,0.3447,0.094
Cypress,South Gate,0.3708,0.3134,0.4267,0.3589
Cypress,South Pasadena,0.0141,0,0,0.0256
Cypress,Stanton,0.5303,1.0826,0.7714,0.2392
Cypress,Temecula,0.1408,0.4274,0.1477,0.0513
Cypress,Temple City,0.0188,0.057,0.0328,0
Cypress,Thousand Oaks,0.1643,0.1425,0.1805,0.1623
Cypress,Torrance,1.3657,1.2251,0.9191,1.6405
Cypress,Tustin,0.9621,1.2251,0.9355,0.8971
Cypress,Twentynine Palms,0,0,0,0
Cypress,Unincorporated:Imperial,0.0282,0.057,0.0656,0
Cypress,Unincorporated:Los Angeles,2.0932,2.2792,2.1828,1.9908
Cypress,Unincorporated:Orange,0.4693,0.4274,0.8534,0.282
Cypress,Unincorporated:Riverside,0.1361,0.3419,0.1969,0.0427
Cypress,Unincorporated:San Bernardino,0.1549,0.1709,0.1641,0.1452
Cypress,Unincorporated:San Diego,0.1783,0.0855,0.3611,0.1111
Cypress,Unincorporated:Ventura,0.0516,0.057,0.1313,0.0085
Cypress,Upland,0.0845,0.0855,0.0821,0.0854
Cypress,Vernon,0.4224,0.2849,0.4924,0.4272
Cypress,Victorville,0.0939,0.2279,0.1149,0.0427
Cypress,Villa Park,0.0282,0.0285,0.0656,0.0085
Cypress,Vista,0.0798,0.057,0.1477,0.0513
Cypress,Walnut,0.0751,0.057,0.0328,0.1025
Cypress,West Covina,0.2018,0.3704,0.2954,0.1025
Cypress,West Hollywood,0.0751,0.0285,0.0164,0.1196
Cypress,Westlake Village,0.0329,0.057,0.0164,0.0342
Cypress,Westminster,0.9011,1.1396,1.0996,0.7262
Cypress,Westmorland,0,0,0,0
Cypress,Whittier,0.3989,0.4843,0.558,0.2905
Cypress,Wildomar,0.0047,0.0285,0,0
Cypress,Yorba Linda,0.2628,0.3704,0.1969,0.2649
Cypress,Yucaipa,0.0094,0,0.0328,0
Cypress,Yucca Valley,0,0,0,0
