home_city,work_city,all_worker_ratio,low_income_worker_ratio,medium_income_worker_ratio,high_income_worker_ratio
Fountain Valley,Adelanto,0.0086,0.0243,0,0.0081
Fountain Valley,Agoura Hills,0.0385,0.0971,0.0287,0.0244
Fountain Valley,Alhambra,0.1027,0.0971,0.1866,0.057
Fountain Valley,Aliso Viejo,0.3168,0.2914,0.2727,0.3504
Fountain Valley,Anaheim,4.6663,5.2453,5.5109,3.9925
Fountain Valley,Apple Valley,0.0257,0,0.0431,0.0244
Fountain Valley,Arcadia,0.0856,0.0729,0.1148,0.0733
Fountain Valley,Artesia,0.0942,0.1214,0.1579,0.0489
Fountain Valley,Azusa,0.0214,0,0.0144,0.0326
Fountain Valley,Baldwin Park,0.0599,0.0486,0.0287,0.0815
Fountain Valley,Banning,0.0043,0,0.0144,0
Fountain Valley,Barstow,0.0257,0,0.0574,0.0163
Fountain Valley,Beaumont,0.0171,0,0.0431,0.0081
Fountain Valley,Bell,0.0514,0.0243,0.1005,0.0326
Fountain Valley,Bell Gardens,0.0685,0.17,0.1005,0.0163
Fountain Valley,Bellflower,0.2269,0.2914,0.244,0.1956
Fountain Valley,Beverly Hills,0.1027,0.0971,0.1005,0.1059
Fountain Valley,Big Bear Lake,0,0,0,0
Fountain Valley,Blythe,0,0,0,0
Fountain Valley,Bradbury,0,0,0,0
Fountain Valley,Brawley,0,0,0,0
Fountain Valley,Brea,0.8904,0.9228,0.9615,0.8392
Fountain Valley,Buena Park,0.5993,0.5828,0.7606,0.5133
Fountain Valley,Burbank,0.3468,0.5585,0.3731,0.2607
Fountain Valley,Calabasas,0.0557,0.0971,0.0431,0.0489
Fountain Valley,Calexico,0.0043,0.0243,0,0
Fountain Valley,Calimesa,0.0086,0,0.0144,0.0081
Fountain Valley,Calipatria,0,0,0,0
Fountain Valley,Camarillo,0.0471,0.0729,0.0574,0.0326
Fountain Valley,Canyon Lake,0,0,0,0
Fountain Valley,Carlsbad,0.2183,0.17,0.244,0.22
Fountain Valley,Carson,0.4367,0.2671,0.4449,0.4889
Fountain Valley,Cathedral City,0.0043,0,0,0.0081
Fountain Valley,Cerritos,0.7192,0.6557,0.6028,0.8066
Fountain Valley,Chino,0.1884,0.1214,0.287,0.1548
Fountain Valley,Chino Hills,0.0856,0.1457,0.1292,0.0407
Fountain Valley,Chula Vista,0.0771,0,0.1866,0.0407
Fountain Valley,Claremont,0.0771,0.0971,0.1005,0.057
Fountain Valley,Coachella,0,0,0,0
Fountain Valley,Colton,0.0514,0,0.0861,0.0489
Fountain Valley,Commerce,0.2483,0.2186,0.3875,0.1793
Fountain Valley,Compton,0.2098,0.2428,0.3014,0.1467
Fountain Valley,Corona,0.4752,0.6557,0.6315,0.3259
Fountain Valley,Coronado,0,0,0,0
Fountain Valley,Costa Mesa,5.9934,6.7751,5.9414,5.7606
Fountain Valley,Covina,0.0599,0.1214,0.0861,0.0244
Fountain Valley,Cudahy,0.0043,0,0,0.0081
Fountain Valley,Culver City,0.3125,0.7285,0.2009,0.2363
Fountain Valley,Cypress,0.8048,0.2914,0.6458,1.0674
Fountain Valley,Dana Point,0.1199,0.2186,0.1866,0.0489
Fountain Valley,Del Mar,0.0043,0,0.0144,0
Fountain Valley,Desert Hot Springs,0,0,0,0
Fountain Valley,Diamond Bar,0.1241,0.0971,0.1005,0.1467
Fountain Valley,Downey,0.3468,0.4371,0.5023,0.2281
Fountain Valley,Duarte,0.0171,0.0243,0.0144,0.0163
Fountain Valley,Eastvale,0.03,0.0486,0.0287,0.0244
Fountain Valley,El Cajon,0.0514,0.0729,0.0431,0.0489
Fountain Valley,El Centro,0.0214,0,0.0287,0.0244
Fountain Valley,El Monte,0.0813,0.0971,0.1148,0.057
Fountain Valley,El Segundo,0.625,0.1943,0.1722,1.0266
Fountain Valley,Encinitas,0.0813,0.0971,0.1435,0.0407
Fountain Valley,Escondido,0.137,0.1943,0.1148,0.1304
Fountain Valley,Fillmore,0,0,0,0
Fountain Valley,Fontana,0.1199,0.17,0.0718,0.1304
Fountain Valley,Fountain Valley,7.6159,12.2147,6.9317,6.4613
Fountain Valley,Fullerton,1.1045,0.8014,0.9902,1.2711
Fountain Valley,Garden Grove,3.793,4.881,4.9225,2.7866
Fountain Valley,Gardena,0.1884,0.3157,0.1866,0.1467
Fountain Valley,Glendale,0.351,0.34,0.4162,0.3178
Fountain Valley,Glendora,0.0471,0.0729,0.0861,0.0163
Fountain Valley,Grand Terrace,0,0,0,0
Fountain Valley,Hawaiian Gardens,0.0685,0,0.1005,0.0733
Fountain Valley,Hawthorne,0.2012,0.1457,0.1292,0.2607
Fountain Valley,Hemet,0.0514,0.0486,0.1005,0.0244
Fountain Valley,Hermosa Beach,0.0342,0.1214,0.0287,0.0081
Fountain Valley,Hesperia,0.03,0.0729,0.0431,0.0081
Fountain Valley,Hidden Hills,0,0,0,0
Fountain Valley,Highland,0.0086,0.0243,0,0.0081
Fountain Valley,Holtville,0,0,0,0
Fountain Valley,Huntington Beach,7.419,8.8392,7.3766,6.9665
Fountain Valley,Huntington Park,0.0599,0.0729,0.1005,0.0326
Fountain Valley,Imperial,0.0043,0,0.0144,0
Fountain Valley,Imperial Beach,0.0086,0,0.0287,0
Fountain Valley,Indian Wells,0.0171,0,0.0431,0.0081
Fountain Valley,Indio,0.0086,0,0.0287,0
