home_city,work_city,all_worker_ratio,low_income_worker_ratio,medium_income_worker_ratio,high_income_worker_ratio
Garden Grove,Adelanto,0.0104,0,0.015,0.0111
Garden Grove,Agoura Hills,0.0193,0.0073,0.0301,0.0148
Garden Grove,Alhambra,0.1112,0.1236,0.1091,0.107
Garden Grove,Aliso Viejo,0.3173,0.2472,0.331,0.3396
Garden Grove,Anaheim,9.121,9.7056,10.8729,7.1049
Garden Grove,Apple Valley,0.0237,0.0509,0.0263,0.0074
Garden Grove,Arcadia,0.1364,0.1236,0.1279,0.1513
Garden Grove,Artesia,0.0905,0.1236,0.1015,0.0627
Garden Grove,Azusa,0.0845,0.0872,0.079,0.0886
Garden Grove,Baldwin Park,0.083,0.0364,0.0865,0.1033
Garden Grove,Banning,0.0044,0.0073,0.0038,0.0037
Garden Grove,Barstow,0.0044,0.0073,0.0075,0
Garden Grove,Beaumont,0.0237,0.0436,0.0188,0.0185
Garden Grove,Bell,0.0727,0.1236,0.0715,0.048
Garden Grove,Bell Gardens,0.0593,0.0291,0.1015,0.0332
Garden Grove,Bellflower,0.1868,0.1381,0.188,0.2104
Garden Grove,Beverly Hills,0.1364,0.1381,0.0978,0.1735
Garden Grove,Big Bear Lake,0.0074,0.0073,0.0075,0.0074
Garden Grove,Blythe,0.0044,0,0.0038,0.0074
Garden Grove,Bradbury,0,0,0,0
Garden Grove,Brawley,0.0059,0.0145,0.0038,0.0037
Garden Grove,Brea,1.0988,0.9015,1.1584,1.1405
Garden Grove,Buena Park,1.1596,1.374,1.2486,0.9633
Garden Grove,Burbank,0.3129,0.4144,0.2708,0.3027
Garden Grove,Calabasas,0.0282,0.0291,0.015,0.0406
Garden Grove,Calexico,0.0089,0.0073,0.0113,0.0074
Garden Grove,Calimesa,0.0015,0,0.0038,0
Garden Grove,Calipatria,0,0,0,0
Garden Grove,Camarillo,0.0623,0.0872,0.0489,0.0627
Garden Grove,Canyon Lake,0.003,0,0,0.0074
Garden Grove,Carlsbad,0.2476,0.2181,0.2369,0.2731
Garden Grove,Carson,0.4775,0.2835,0.4438,0.609
Garden Grove,Cathedral City,0.0178,0.0145,0.0263,0.0111
Garden Grove,Cerritos,0.8704,0.9233,0.8613,0.8526
Garden Grove,Chino,0.2284,0.1745,0.2407,0.2436
Garden Grove,Chino Hills,0.1008,0.1236,0.1015,0.0886
Garden Grove,Chula Vista,0.0712,0.1091,0.0865,0.0369
Garden Grove,Claremont,0.0504,0.0582,0.0527,0.0443
Garden Grove,Coachella,0.003,0.0073,0.0038,0
Garden Grove,Colton,0.0386,0.0436,0.0451,0.0295
Garden Grove,Commerce,0.3084,0.2617,0.3084,0.3322
Garden Grove,Compton,0.218,0.2036,0.2144,0.2288
Garden Grove,Corona,0.5131,0.5889,0.519,0.4687
Garden Grove,Coronado,0.0133,0.0145,0.0113,0.0148
Garden Grove,Costa Mesa,3.7783,3.2788,3.9189,3.8939
Garden Grove,Covina,0.0949,0.1527,0.0978,0.0627
Garden Grove,Cudahy,0.0148,0.0436,0.0075,0.0074
Garden Grove,Culver City,0.2728,0.3999,0.2595,0.2215
Garden Grove,Cypress,1.1344,0.9088,0.9252,1.4542
Garden Grove,Dana Point,0.0682,0.1018,0.079,0.0406
Garden Grove,Del Mar,0.0074,0.0073,0.015,0
Garden Grove,Desert Hot Springs,0.0015,0,0,0.0037
Garden Grove,Diamond Bar,0.1587,0.2254,0.1429,0.1403
Garden Grove,Downey,0.2788,0.3053,0.2407,0.3027
Garden Grove,Duarte,0.0519,0.0145,0.0338,0.0886
Garden Grove,Eastvale,0.043,0.0582,0.0376,0.0406
Garden Grove,El Cajon,0.0563,0.0291,0.0376,0.0886
Garden Grove,El Centro,0.0059,0.0073,0,0.0111
Garden Grove,El Monte,0.1305,0.08,0.1241,0.1624
Garden Grove,El Segundo,0.5012,0.1163,0.1617,1.0297
Garden Grove,Encinitas,0.0519,0.0872,0.0602,0.0258
Garden Grove,Escondido,0.1082,0.0872,0.1128,0.1144
Garden Grove,Fillmore,0.003,0,0.0075,0
Garden Grove,Fontana,0.1631,0.1527,0.1542,0.1772
Garden Grove,Fountain Valley,2.3207,2.2973,2.3017,2.3511
Garden Grove,Fullerton,1.8135,1.7666,1.794,1.8565
Garden Grove,Garden Grove,9.4635,17.0483,8.7367,6.3261
Garden Grove,Gardena,0.1676,0.1454,0.1768,0.1698
Garden Grove,Glendale,0.2284,0.1963,0.2144,0.2584
Garden Grove,Glendora,0.0593,0.0291,0.0752,0.0591
Garden Grove,Grand Terrace,0.003,0.0073,0.0038,0
Garden Grove,Hawaiian Gardens,0.1008,0.08,0.1279,0.0849
Garden Grove,Hawthorne,0.1557,0.1091,0.1279,0.2067
Garden Grove,Hemet,0.0638,0.1309,0.0564,0.0369
Garden Grove,Hermosa Beach,0.0267,0.0582,0.0263,0.0111
Garden Grove,Hesperia,0.0341,0.0582,0.0226,0.0332
Garden Grove,Hidden Hills,0,0,0,0
Garden Grove,Highland,0.0133,0.0436,0.0038,0.0074
Garden Grove,Holtville,0,0,0,0
Garden Grove,Huntington Beach,4.0185,3.7368,4.3289,3.8569
Garden Grove,Huntington Park,0.0489,0.0509,0.0602,0.0369
Garden Grove,Imperial,0,0,0,0
Garden Grove,Imperial Beach,0,0,0,0
Garden Grove,Indian Wells,0.003,0,0.0038,0.0037
Garden Grove,Indio,0.0163,0.0218,0.015,0.0148
Garden Grove,Industry,0.4063,0.378,0.3535,0.4724
Garden Grove,Inglewood,0.1275,0.1381,0.1429,0.107
Garden Grove,Irvine,8.3069,4.3693,7.2887,11.3051
Garden Grove,Irwindale,0.0727,0.0145,0.0527,0.1218
Garden Grove,Jurupa Valley,0.1038,0.0945,0.1053,0.107
Garden Grove,La Canada Flintridge,0.0104,0.0291,0.0075,0.0037
Garden Grove,La Habra,0.344,0.4071,0.3949,0.2621
Garden Grove,La Habra Heights,0.0044,0.0073,0.0038,0.0037
Garden Grove,La Mesa,0.0341,0.0727,0.0263,0.0221
Garden Grove,La Mirada,0.3529,0.4362,0.2745,0.3875
Garden Grove,La Palma,0.2298,0.0654,0.2708,0.2731
Garden Grove,La Puente,0.0252,0.0291,0.0301,0.0185
Garden Grove,La Quinta,0.0163,0.0364,0.0188,0.0037
Garden Grove,La Verne,0.0563,0.0727,0.0639,0.0406
Garden Grove,Laguna Beach,0.1023,0.0727,0.1467,0.0738
Garden Grove,Laguna Hills,0.304,0.349,0.3385,0.2473
Garden Grove,Laguna Niguel,0.3307,0.2108,0.3799,0.3432
Garden Grove,Laguna Woods,0.0964,0.0509,0.1204,0.096
Garden Grove,Lake Elsinore,0.0519,0.0509,0.0639,0.0406
Garden Grove,Lake Forest,0.8838,0.4435,0.9703,1.0224
Garden Grove,Lakewood,0.3692,0.618,0.3611,0.251
Garden Grove,Lancaster,0.0875,0.1309,0.0752,0.0775
Garden Grove,Lawndale,0.0297,0.0291,0.0301,0.0295
Garden Grove,Lemon Grove,0.003,0,0.0038,0.0037
Garden Grove,Loma Linda,0.0356,0.0145,0.0263,0.0554
Garden Grove,Lomita,0.0193,0.0291,0.0075,0.0258
Garden Grove,Long Beach,2.7344,2.4936,1.8165,3.7573
Garden Grove,Los Alamitos,0.5798,0.5089,0.5416,0.6533
Garden Grove,Los Angeles,5.2567,4.5002,4.2499,6.6288
Garden Grove,Lynwood,0.0741,0.0872,0.0639,0.0775
Garden Grove,Malibu,0.0059,0,0.0075,0.0074
Garden Grove,Manhattan Beach,0.0979,0.1527,0.0715,0.096
Garden Grove,Maywood,0.0163,0.0145,0.0263,0.0074
Garden Grove,Menifee,0.0297,0.0582,0.0188,0.0258
Garden Grove,Mission Viejo,0.6628,0.4362,1.0004,0.4466
Garden Grove,Monrovia,0.0949,0.0654,0.079,0.1255
Garden Grove,Montclair,0.0667,0.0654,0.0602,0.0738
Garden Grove,Montebello,0.1216,0.1745,0.0978,0.1181
Garden Grove,Monterey Park,0.1023,0.0582,0.0752,0.1513
Garden Grove,Moorpark,0.0148,0.0073,0.015,0.0185
Garden Grove,Moreno Valley,0.1112,0.2254,0.094,0.0701
Garden Grove,Murrieta,0.0623,0.1091,0.0602,0.0406
Garden Grove,National City,0.0252,0.0073,0.0226,0.0369
Garden Grove,Needles,0,0,0,0
Garden Grove,Newport Beach,2.5668,1.534,2.9335,2.7312
Garden Grove,Norco,0.0578,0.0727,0.0414,0.0664
Garden Grove,Norwalk,0.3559,0.5307,0.2821,0.3396
Garden Grove,Oceanside,0.1364,0.2181,0.1692,0.0627
Garden Grove,Ojai,0,0,0,0
Garden Grove,Ontario,0.6539,0.8579,0.7146,0.4909
Garden Grove,Orange,4.9809,4.253,5.3669,4.9716
Garden Grove,Oxnard,0.1053,0.0727,0.1392,0.0886
