home_city,work_city,all_worker_ratio,low_income_worker_ratio,medium_income_worker_ratio,high_income_worker_ratio
Huntington Beach,Adelanto,0.0074,0.0077,0.0046,0.0086
Huntington Beach,Agoura Hills,0.0308,0.0926,0.0231,0.0172
Huntington Beach,Alhambra,0.0726,0.0926,0.06,0.0729
Huntington Beach,Aliso Viejo,0.3607,0.1852,0.2678,0.4526
Huntington Beach,Anaheim,4.1867,4.2519,4.9227,3.8268
Huntington Beach,Apple Valley,0.0259,0.0617,0.0231,0.0172
Huntington Beach,Arcadia,0.1342,0.1698,0.1432,0.1201
Huntington Beach,Artesia,0.0394,0.0386,0.0739,0.0236
Huntington Beach,Azusa,0.0812,0.0386,0.0416,0.1115
Huntington Beach,Baldwin Park,0.0714,0.054,0.1062,0.0601
Huntington Beach,Banning,0.0049,0.0077,0.0092,0.0021
Huntington Beach,Barstow,0.0111,0.0231,0.0277,0
Huntington Beach,Beaumont,0.0111,0.0077,0.0277,0.0043
Huntington Beach,Bell,0.0505,0.0386,0.06,0.0493
Huntington Beach,Bell Gardens,0.0505,0.0386,0.0462,0.0558
Huntington Beach,Bellflower,0.1625,0.1312,0.1616,0.1716
Huntington Beach,Beverly Hills,0.197,0.1157,0.194,0.2209
Huntington Beach,Big Bear Lake,0.0172,0.0309,0.0369,0.0043
Huntington Beach,Blythe,0.0111,0,0.0185,0.0107
Huntington Beach,Bradbury,0,0,0,0
Huntington Beach,Brawley,0.0025,0.0154,0,0
Huntington Beach,Brea,0.57,0.4861,0.5403,0.607
Huntington Beach,Buena Park,0.6734,0.8565,0.7435,0.5899
Huntington Beach,Burbank,0.4703,1.0032,0.4618,0.326
Huntington Beach,Calabasas,0.0677,0.108,0.06,0.0601
Huntington Beach,Calexico,0.0025,0.0077,0,0.0021
Huntington Beach,Calimesa,0.0025,0,0.0046,0.0021
Huntington Beach,Calipatria,0,0,0,0
Huntington Beach,Camarillo,0.0628,0.0849,0.097,0.0408
Huntington Beach,Canyon Lake,0,0,0,0
Huntington Beach,Carlsbad,0.213,0.2932,0.2263,0.1845
Huntington Beach,Carson,0.6266,0.4167,0.4248,0.7787
Huntington Beach,Cathedral City,0.0185,0.0231,0.0231,0.015
Huntington Beach,Cerritos,0.698,0.5633,0.6234,0.7701
Huntington Beach,Chino,0.165,0.0849,0.1616,0.1888
Huntington Beach,Chino Hills,0.0579,0.0772,0.0831,0.0408
Huntington Beach,Chula Vista,0.0702,0.108,0.1154,0.0386
Huntington Beach,Claremont,0.048,0.1157,0.0416,0.0322
Huntington Beach,Coachella,0.0037,0.0077,0.0046,0.0021
Huntington Beach,Colton,0.0345,0.0231,0.0462,0.0322
Huntington Beach,Commerce,0.2154,0.1775,0.2309,0.2188
Huntington Beach,Compton,0.1465,0.0926,0.1339,0.1673
Huntington Beach,Corona,0.4456,0.5247,0.3925,0.4483
Huntington Beach,Coronado,0.0123,0.0231,0.0092,0.0107
Huntington Beach,Costa Mesa,5.6283,5.7412,6.151,5.354
Huntington Beach,Covina,0.096,0.1312,0.1201,0.0751
Huntington Beach,Cudahy,0.0209,0.0309,0.0139,0.0215
Huntington Beach,Culver City,0.309,0.517,0.2263,0.2896
Huntington Beach,Cypress,1.1178,0.6868,0.8866,1.3449
Huntington Beach,Dana Point,0.1366,0.1543,0.2263,0.0901
Huntington Beach,Del Mar,0.0049,0,0,0.0086
Huntington Beach,Desert Hot Springs,0,0,0,0
Huntington Beach,Diamond Bar,0.1354,0.1775,0.157,0.1137
Huntington Beach,Downey,0.3385,0.3164,0.3186,0.3539
Huntington Beach,Duarte,0.0419,0.054,0.0277,0.045
Huntington Beach,Eastvale,0.0369,0.0772,0.0323,0.0279
Huntington Beach,El Cajon,0.0714,0.054,0.0877,0.0686
Huntington Beach,El Centro,0.0062,0,0.0185,0.0021
Huntington Beach,El Monte,0.1416,0.0694,0.1709,0.148
Huntington Beach,El Segundo,0.7817,0.1543,0.2447,1.2055
Huntington Beach,Encinitas,0.0689,0.0926,0.097,0.0493
Huntington Beach,Escondido,0.0997,0.1312,0.1016,0.0901
Huntington Beach,Fillmore,0.0037,0,0.0139,0
Huntington Beach,Fontana,0.1502,0.1543,0.1893,0.1308
Huntington Beach,Fountain Valley,3.4604,3.9123,3.5373,3.2991
Huntington Beach,Fullerton,0.9639,0.98,1.0298,0.9288
Huntington Beach,Garden Grove,2.3673,2.5619,2.5214,2.2416
Huntington Beach,Gardena,0.1699,0.1157,0.1524,0.1931
Huntington Beach,Glendale,0.3508,0.4321,0.2494,0.3754
Huntington Beach,Glendora,0.0677,0.0772,0.0647,0.0665
Huntington Beach,Grand Terrace,0.0012,0,0,0.0021
Huntington Beach,Hawaiian Gardens,0.08,0.054,0.1339,0.0622
Huntington Beach,Hawthorne,0.181,0.1389,0.1062,0.2274
Huntington Beach,Hemet,0.0431,0.0926,0.0462,0.0279
Huntington Beach,Hermosa Beach,0.0492,0.1003,0.0647,0.0279
Huntington Beach,Hesperia,0.0283,0.0386,0.0462,0.0172
Huntington Beach,Hidden Hills,0.0012,0.0077,0,0
Huntington Beach,Highland,0.0086,0.0154,0.0092,0.0064
Huntington Beach,Holtville,0,0,0,0
Huntington Beach,Huntington Beach,15.2241,22.0156,18.0236,12.0359
Huntington Beach,Huntington Park,0.0455,0.0386,0.0508,0.045
Huntington Beach,Imperial,0.0025,0.0077,0,0.0021
Huntington Beach,Imperial Beach,0.0012,0.0077,0,0
Huntington Beach,Indian Wells,0.0098,0.0077,0.0185,0.0064
Huntington Beach,Indio,0.0209,0.0309,0.0277,0.015
Huntington Beach,Industry,0.3164,0.1929,0.3186,0.3496
Huntington Beach,Inglewood,0.1243,0.1389,0.1478,0.1094
Huntington Beach,Irvine,9.5786,5.7798,7.7165,11.4996
Huntington Beach,Irwindale,0.0591,0.0154,0.0231,0.0879
Huntington Beach,Jurupa Valley,0.1059,0.1157,0.0877,0.1115
Huntington Beach,La Canada Flintridge,0.0197,0.0386,0.0323,0.0086
Huntington Beach,La Habra,0.0997,0.1929,0.1201,0.0644
Huntington Beach,La Habra Heights,0.0086,0,0.0231,0.0043
Huntington Beach,La Mesa,0.032,0.0386,0.0554,0.0193
Huntington Beach,La Mirada,0.2893,0.2315,0.3094,0.296
Huntington Beach,La Palma,0.192,0.1003,0.1385,0.2424
Huntington Beach,La Puente,0.0172,0.0154,0.0416,0.0064
Huntington Beach,La Quinta,0.0185,0.054,0.0231,0.0064
Huntington Beach,La Verne,0.0579,0.054,0.0508,0.0622
Huntington Beach,Laguna Beach,0.2179,0.2392,0.2678,0.1888
Huntington Beach,Laguna Hills,0.3902,0.2855,0.4849,0.3754
Huntington Beach,Laguna Niguel,0.2154,0.4013,0.2632,0.1416
Huntington Beach,Laguna Woods,0.0517,0.0309,0.0739,0.0472
Huntington Beach,Lake Elsinore,0.0542,0.1003,0.0647,0.0365
Huntington Beach,Lake Forest,0.7275,0.5479,0.6696,0.8044
Huntington Beach,Lakewood,0.2868,0.5247,0.2771,0.2252
Huntington Beach,Lancaster,0.0542,0.0772,0.0739,0.0386
Huntington Beach,Lawndale,0.0259,0.0309,0.0369,0.0193
Huntington Beach,Lemon Grove,0.0037,0,0.0092,0.0021
Huntington Beach,Loma Linda,0.0185,0.0386,0.0092,0.0172
Huntington Beach,Lomita,0.0123,0.0154,0.0139,0.0107
Huntington Beach,Long Beach,4.8847,3.8197,3.468,5.8388
Huntington Beach,Los Alamitos,0.5983,0.5247,0.508,0.6607
Huntington Beach,Los Angeles,6.6796,5.664,5.5137,7.5034
Huntington Beach,Lynwood,0.0702,0.0154,0.0554,0.0922
Huntington Beach,Malibu,0.0074,0.0077,0.0092,0.0064
Huntington Beach,Manhattan Beach,0.133,0.2006,0.1247,0.118
Huntington Beach,Maywood,0.0086,0.0077,0.0092,0.0086
Huntington Beach,Menifee,0.0332,0.0463,0.0462,0.0236
Huntington Beach,Mission Viejo,0.4801,0.4553,0.6142,0.4247
Huntington Beach,Monrovia,0.0677,0.0617,0.0647,0.0708
Huntington Beach,Montclair,0.048,0.0386,0.0462,0.0515
Huntington Beach,Montebello,0.08,0.0694,0.0831,0.0815
Huntington Beach,Monterey Park,0.1071,0.0386,0.0554,0.1502
Huntington Beach,Moorpark,0.0234,0.0309,0.0508,0.0086
Huntington Beach,Moreno Valley,0.0739,0.1852,0.0785,0.0408
Huntington Beach,Murrieta,0.0726,0.1157,0.1154,0.0408
Huntington Beach,National City,0.0295,0.0463,0.0554,0.0129
Huntington Beach,Needles,0,0,0,0
Huntington Beach,Newport Beach,5.1592,4.5065,5.5137,5.176
Huntington Beach,Norco,0.0431,0.0617,0.0554,0.0322
Huntington Beach,Norwalk,0.2721,0.2624,0.2494,0.2853
