home_city,work_city,all_worker_ratio,low_income_worker_ratio,medium_income_worker_ratio,high_income_worker_ratio
Irvine,Adelanto,0.0076,0.0093,0.0058,0.0078
Irvine,Agoura Hills,0.019,0.056,0.0174,0.0117
Irvine,Alhambra,0.0607,0.084,0.1395,0.0293
Irvine,Aliso Viejo,1.3045,0.8775,1.0056,1.4946
Irvine,Anaheim,3.4594,4.0795,3.9933,3.1497
Irvine,Apple Valley,0.0354,0.0653,0.0639,0.0196
Irvine,Arcadia,0.0898,0.14,0.1337,0.0646
Irvine,Artesia,0.0253,0.0467,0.0233,0.0215
Irvine,Azusa,0.0519,0.084,0.0523,0.045
Irvine,Baldwin Park,0.0835,0.056,0.1221,0.0763
Irvine,Banning,0.0089,0.028,0.0174,0.002
Irvine,Barstow,0.0202,0.0747,0.0058,0.0137
Irvine,Beaumont,0.0202,0.0187,0.0349,0.0157
Irvine,Bell,0.0354,0.0093,0.0639,0.0313
Irvine,Bell Gardens,0.0139,0.0093,0.0291,0.0098
Irvine,Bellflower,0.0747,0.0653,0.1046,0.0665
Irvine,Beverly Hills,0.1455,0.2521,0.1918,0.1076
Irvine,Big Bear Lake,0.0038,0,0.0058,0.0039
Irvine,Blythe,0.0228,0.0187,0.0116,0.0274
Irvine,Bradbury,0.0025,0,0.0116,0
Irvine,Brawley,0.0013,0.0093,0,0
Irvine,Brea,0.6149,0.5975,0.6045,0.6221
Irvine,Buena Park,0.3378,0.4014,0.372,0.313
Irvine,Burbank,0.4239,0.8402,0.3953,0.3463
Irvine,Calabasas,0.0658,0.1867,0.0058,0.0606
Irvine,Calexico,0.0025,0.0187,0,0
Irvine,Calimesa,0.0013,0.0093,0,0
Irvine,Calipatria,0,0,0,0
Irvine,Camarillo,0.0683,0.0747,0.1046,0.0548
Irvine,Canyon Lake,0,0,0,0
Irvine,Carlsbad,0.2771,0.3081,0.3546,0.2445
Irvine,Carson,0.2619,0.196,0.3255,0.2543
Irvine,Cathedral City,0.0139,0.028,0.0233,0.0078
Irvine,Cerritos,0.372,0.3267,0.5173,0.3326
Irvine,Chino,0.1949,0.224,0.2558,0.1682
Irvine,Chino Hills,0.0848,0.168,0.1163,0.0567
Irvine,Chula Vista,0.0797,0.1587,0.1337,0.045
Irvine,Claremont,0.0607,0.14,0.0465,0.0489
Irvine,Coachella,0.0114,0.028,0.0233,0.0039
Irvine,Colton,0.0519,0.0373,0.0407,0.0587
Irvine,Commerce,0.1417,0.2334,0.1686,0.1135
Irvine,Compton,0.0772,0.1214,0.1163,0.0548
Irvine,Corona,0.5593,0.5414,0.5871,0.5536
Irvine,Coronado,0.0101,0.0093,0.0233,0.0059
Irvine,Costa Mesa,4.7765,5.0597,4.7663,4.7206
Irvine,Covina,0.0747,0.1307,0.0639,0.0665
Irvine,Cudahy,0.0051,0.0187,0,0.0039
Irvine,Culver City,0.2632,0.4668,0.3197,0.2015
Irvine,Cypress,0.5491,0.2147,0.2906,0.7062
Irvine,Dana Point,0.1759,0.2987,0.2441,0.1272
Irvine,Del Mar,0.0013,0,0.0058,0
Irvine,Desert Hot Springs,0.0063,0,0.0233,0.002
Irvine,Diamond Bar,0.1873,0.196,0.1628,0.1937
Irvine,Downey,0.1506,0.112,0.1744,0.1506
Irvine,Duarte,0.0354,0.0467,0.0349,0.0333
Irvine,Eastvale,0.0316,0.056,0.0291,0.0274
Irvine,El Cajon,0.0848,0.0653,0.093,0.0861
Irvine,El Centro,0.0127,0.028,0,0.0137
Irvine,El Monte,0.1265,0.14,0.1686,0.1096
Irvine,El Segundo,1.5045,0.2334,0.2964,2.1774
Irvine,Encinitas,0.0557,0.1214,0.1279,0.0176
Irvine,Escondido,0.0962,0.168,0.1395,0.0665
Irvine,Fillmore,0.0114,0,0.0465,0.002
Irvine,Fontana,0.1733,0.1774,0.186,0.1682
Irvine,Fountain Valley,1.2489,1.3723,1.1916,1.2423
Irvine,Fullerton,0.8604,0.8682,0.8719,0.8549
Irvine,Garden Grove,0.9477,1.2323,1.1916,0.806
Irvine,Gardena,0.0924,0.0934,0.1569,0.0704
Irvine,Glendale,0.2961,0.3174,0.3313,0.2798
Irvine,Glendora,0.0544,0.112,0.0698,0.0372
Irvine,Grand Terrace,0.0051,0.0093,0,0.0059
Irvine,Hawaiian Gardens,0.0127,0.0187,0.0058,0.0137
Irvine,Hawthorne,0.0721,0.112,0.0698,0.0646
Irvine,Hemet,0.0418,0.084,0.0698,0.0235
Irvine,Hermosa Beach,0.0177,0.0373,0.0233,0.0117
Irvine,Hesperia,0.0367,0.084,0.0407,0.0254
Irvine,Hidden Hills,0.0013,0,0.0058,0
Irvine,Highland,0.0164,0.056,0.0407,0
Irvine,Holtville,0,0,0,0
Irvine,Huntington Beach,1.7183,2.2778,1.7031,1.6062
Irvine,Huntington Park,0.0291,0.0373,0.0233,0.0293
Irvine,Imperial,0.0013,0,0,0.002
Irvine,Imperial Beach,0,0,0,0
