home_city,work_city,all_worker_ratio,low_income_worker_ratio,medium_income_worker_ratio,high_income_worker_ratio
La Habra,Adelanto,0.0169,0,0.0391,0.007
La Habra,Agoura Hills,0.0169,0.0193,0.0098,0.0211
La Habra,Alhambra,0.2161,0.3088,0.215,0.1831
La Habra,Aliso Viejo,0.2701,0.3088,0.2053,0.3028
La Habra,Anaheim,6.2403,6.6975,7.8291,4.9289
La Habra,Apple Valley,0.0203,0.0193,0.0391,0.007
La Habra,Arcadia,0.3512,0.5018,0.4301,0.2394
La Habra,Artesia,0.1452,0.2509,0.1368,0.1127
La Habra,Azusa,0.1891,0.2702,0.2053,0.1479
La Habra,Baldwin Park,0.3546,0.3667,0.391,0.3239
La Habra,Banning,0.0034,0,0.0098,0
La Habra,Barstow,0.0135,0.0386,0.0195,0
La Habra,Beaumont,0.0068,0,0,0.0141
La Habra,Bell,0.1891,0.193,0.2639,0.1338
La Habra,Bell Gardens,0.1452,0.1737,0.088,0.176
La Habra,Bellflower,0.3411,0.3667,0.3421,0.3309
La Habra,Beverly Hills,0.2364,0.3281,0.215,0.2183
La Habra,Big Bear Lake,0.0135,0.0193,0.0098,0.0141
La Habra,Blythe,0.0135,0,0,0.0282
La Habra,Bradbury,0,0,0,0
La Habra,Brawley,0.0068,0.0386,0,0
La Habra,Brea,4.9369,4.5937,6.6465,3.8304
La Habra,Buena Park,1.7255,2.0266,1.9157,1.4787
La Habra,Burbank,0.5268,0.6755,0.3616,0.5915
La Habra,Calabasas,0.0507,0.1351,0,0.0563
La Habra,Calexico,0.0034,0,0,0.007
La Habra,Calimesa,0,0,0,0
La Habra,Calipatria,0.0034,0,0,0.007
La Habra,Camarillo,0.0675,0.0772,0.088,0.0493
La Habra,Canyon Lake,0.0135,0.0193,0.0293,0
La Habra,Carlsbad,0.1553,0.0965,0.1857,0.1549
La Habra,Carson,0.753,0.3281,0.6158,1.0069
La Habra,Cathedral City,0.0135,0.0193,0.0195,0.007
La Habra,Cerritos,1.4149,1.1195,1.4173,1.5209
La Habra,Chino,0.6078,0.579,0.6842,0.5633
La Habra,Chino Hills,0.3377,0.4053,0.5376,0.169
La Habra,Chula Vista,0.081,0.0579,0.1271,0.0563
La Habra,Claremont,0.1216,0.2123,0.0977,0.1056
La Habra,Coachella,0.0034,0.0193,0,0
La Habra,Colton,0.1216,0.1544,0.1173,0.1127
La Habra,Commerce,0.8037,0.7141,0.6255,0.9647
La Habra,Compton,0.2972,0.386,0.2737,0.2817
La Habra,Corona,0.878,0.9072,1.1045,0.7041
La Habra,Coronado,0.0169,0.0193,0.0293,0.007
La Habra,Costa Mesa,1.5398,1.6985,1.6518,1.4012
La Habra,Covina,0.3309,0.4246,0.3421,0.2887
La Habra,Cudahy,0.0101,0,0.0195,0.007
La Habra,Culver City,0.3951,0.6948,0.3616,0.3098
La Habra,Cypress,0.618,0.579,0.5474,0.683
La Habra,Dana Point,0.0979,0.1737,0.088,0.0775
La Habra,Del Mar,0.0034,0,0.0098,0
La Habra,Desert Hot Springs,0.0068,0,0.0195,0
La Habra,Diamond Bar,0.412,0.4246,0.3812,0.4295
La Habra,Downey,0.8408,0.7914,0.7917,0.8942
La Habra,Duarte,0.1317,0.0579,0.1075,0.176
La Habra,Eastvale,0.0844,0.1351,0.0586,0.0845
La Habra,El Cajon,0.0507,0.0386,0.0293,0.0704
La Habra,El Centro,0.0135,0.0193,0.0195,0.007
La Habra,El Monte,0.4018,0.2702,0.391,0.4577
La Habra,El Segundo,0.78,0.2123,0.1662,1.4294
La Habra,Encinitas,0.0405,0.0193,0.0586,0.0352
La Habra,Escondido,0.0608,0.0579,0.0391,0.0775
La Habra,Fillmore,0.0034,0.0193,0,0
La Habra,Fontana,0.4525,0.2123,0.3519,0.6126
La Habra,Fountain Valley,0.493,0.579,0.518,0.4436
La Habra,Fullerton,4.8693,5.2693,5.5322,4.2459
La Habra,Garden Grove,0.9725,1.023,1.0458,0.9013
La Habra,Gardena,0.1823,0.1158,0.1564,0.2253
La Habra,Glendale,0.6348,0.4632,0.4301,0.845
La Habra,Glendora,0.2533,0.3088,0.1857,0.2817
La Habra,Grand Terrace,0.0101,0,0.0098,0.0141
La Habra,Hawaiian Gardens,0.0574,0.0193,0.088,0.0493
La Habra,Hawthorne,0.179,0.193,0.0977,0.2324
La Habra,Hemet,0.0169,0.0386,0.0098,0.0141
La Habra,Hermosa Beach,0.0203,0.0386,0,0.0282
La Habra,Hesperia,0.0236,0.0193,0.0293,0.0211
La Habra,Hidden Hills,0,0,0,0
La Habra,Highland,0.0135,0.0193,0.0195,0.007
La Habra,Holtville,0,0,0,0
La Habra,Huntington Beach,1.398,1.5055,1.4955,1.2886
La Habra,Huntington Park,0.1452,0.1544,0.0782,0.1901
La Habra,Imperial,0,0,0,0
La Habra,Imperial Beach,0.0068,0.0193,0,0.007
La Habra,Indian Wells,0.0101,0.0193,0.0098,0.007
La Habra,Indio,0.0169,0.0386,0.0098,0.0141
La Habra,Industry,1.5229,1.0809,1.6421,1.5984
La Habra,Inglewood,0.1688,0.193,0.1662,0.1619
La Habra,Irvine,3.495,2.3162,3.118,4.1966
La Habra,Irwindale,0.2161,0.0579,0.2639,0.2394
La Habra,Jurupa Valley,0.2161,0.3088,0.2346,0.169
La Habra,La Canada Flintridge,0.0304,0.0386,0.0586,0.007
La Habra,La Habra,4.8761,9.6699,5.4931,2.6827
La Habra,La Habra Heights,0.1452,0.1158,0.303,0.0422
La Habra,La Mesa,0.0169,0,0.0195,0.0211
La Habra,La Mirada,1.4149,1.5441,1.5052,1.3026
La Habra,La Palma,0.179,0.1158,0.1564,0.2183
La Habra,La Puente,0.1925,0.2123,0.1564,0.2112
La Habra,La Quinta,0.0101,0.0193,0.0098,0.007
La Habra,La Verne,0.1249,0.1544,0.1564,0.0915
La Habra,Laguna Beach,0.0945,0.0772,0.0586,0.1267
La Habra,Laguna Hills,0.2668,0.2509,0.3714,0.1972
La Habra,Laguna Niguel,0.1655,0.3088,0.1662,0.1127
La Habra,Laguna Woods,0.0371,0.0193,0.0586,0.0282
La Habra,Lake Elsinore,0.0844,0.1158,0.1075,0.0563
La Habra,Lake Forest,0.4592,0.4053,0.4985,0.4506
La Habra,Lakewood,0.314,0.6948,0.303,0.1831
La Habra,Lancaster,0.0945,0.193,0.0684,0.0775
La Habra,Lawndale,0.0135,0,0.0098,0.0211
La Habra,Lemon Grove,0.0203,0,0.0195,0.0282
La Habra,Loma Linda,0.0236,0.0193,0.0098,0.0352
La Habra,Lomita,0.0101,0.0386,0.0098,0
La Habra,Long Beach,2.1713,2.0652,1.5736,2.6405
La Habra,Los Alamitos,0.2465,0.2123,0.2639,0.2464
La Habra,Los Angeles,9.5563,6.2536,6.2653,13.132
La Habra,Lynwood,0.1418,0.0772,0.1466,0.1619
La Habra,Malibu,0.0101,0.0193,0.0098,0.007
La Habra,Manhattan Beach,0.0912,0.193,0.088,0.0563
La Habra,Maywood,0.0169,0.0579,0.0098,0.007
La Habra,Menifee,0.1013,0.193,0.088,0.0775
La Habra,Mission Viejo,0.4052,0.5018,0.3519,0.4084
La Habra,Monrovia,0.1959,0.2123,0.1955,0.1901
La Habra,Montclair,0.152,0.2123,0.1662,0.1197
