home_city,work_city,all_worker_ratio,low_income_worker_ratio,medium_income_worker_ratio,high_income_worker_ratio
Laguna Beach,Adelanto,0.0133,0,0,0.0206
Laguna Beach,Agoura Hills,0.04,0.0906,0,0.0412
Laguna Beach,Alhambra,0.08,0.0906,0.0651,0.0824
Laguna Beach,Aliso Viejo,2.0011,2.0833,1.6927,2.0799
Laguna Beach,Anaheim,2.6814,2.6268,3.3203,2.4918
Laguna Beach,Apple Valley,0,0,0,0
Laguna Beach,Arcadia,0.08,0.0906,0,0.103
Laguna Beach,Artesia,0.0133,0.0906,0,0
Laguna Beach,Azusa,0.08,0.0906,0.0651,0.0824
Laguna Beach,Baldwin Park,0.04,0,0,0.0618
Laguna Beach,Banning,0.0133,0,0.0651,0
Laguna Beach,Barstow,0,0,0,0
Laguna Beach,Beaumont,0.0267,0,0.0651,0.0206
Laguna Beach,Bell,0.0267,0.0906,0,0.0206
Laguna Beach,Bell Gardens,0.0133,0,0,0.0206
Laguna Beach,Bellflower,0.0534,0.0906,0,0.0618
Laguna Beach,Beverly Hills,0.2535,0.2717,0.1302,0.2883
Laguna Beach,Big Bear Lake,0.04,0.0906,0,0.0412
Laguna Beach,Blythe,0,0,0,0
Laguna Beach,Bradbury,0,0,0,0
Laguna Beach,Brawley,0,0,0,0
Laguna Beach,Brea,0.5203,0.5435,0.4557,0.5354
Laguna Beach,Buena Park,0.2535,0.2717,0.4557,0.1853
Laguna Beach,Burbank,0.4669,0.9964,0.3255,0.3913
Laguna Beach,Calabasas,0.0267,0.0906,0,0.0206
Laguna Beach,Calexico,0.0133,0,0.0651,0
Laguna Beach,Calimesa,0,0,0,0
Laguna Beach,Calipatria,0,0,0,0
Laguna Beach,Camarillo,0.0934,0.1812,0.1302,0.0618
Laguna Beach,Canyon Lake,0,0,0,0
Laguna Beach,Carlsbad,0.4536,0.3623,0.2604,0.5354
Laguna Beach,Carson,0.1467,0.0906,0.0651,0.1853
Laguna Beach,Cathedral City,0.0133,0,0,0.0206
Laguna Beach,Cerritos,0.2935,0,0.3255,0.3501
Laguna Beach,Chino,0.2268,0.2717,0.1953,0.2265
Laguna Beach,Chino Hills,0.08,0,0,0.1236
Laguna Beach,Chula Vista,0.1201,0.2717,0.1953,0.0618
Laguna Beach,Claremont,0.0534,0.0906,0,0.0618
Laguna Beach,Coachella,0,0,0,0
Laguna Beach,Colton,0.0534,0.0906,0.0651,0.0412
Laguna Beach,Commerce,0.1334,0.0906,0.0651,0.1647
Laguna Beach,Compton,0.08,0,0.1302,0.0824
Laguna Beach,Corona,0.6137,0.7246,0.4557,0.6384
Laguna Beach,Coronado,0,0,0,0
Laguna Beach,Costa Mesa,4.1756,4.3478,4.1016,4.1598
Laguna Beach,Covina,0.0667,0.0906,0.1953,0.0206
Laguna Beach,Cudahy,0,0,0,0
Laguna Beach,Culver City,0.2401,0.3623,0.3255,0.1853
Laguna Beach,Cypress,0.4936,0.0906,0.1302,0.7002
Laguna Beach,Dana Point,1.294,2.9891,1.4974,0.8443
Laguna Beach,Del Mar,0.0267,0,0,0.0412
Laguna Beach,Desert Hot Springs,0.0133,0,0,0.0206
Laguna Beach,Diamond Bar,0.08,0.0906,0,0.103
Laguna Beach,Downey,0.1467,0.3623,0.1302,0.103
Laguna Beach,Duarte,0.04,0,0,0.0618
Laguna Beach,Eastvale,0.1067,0.0906,0.1953,0.0824
Laguna Beach,El Cajon,0.0534,0,0.0651,0.0618
Laguna Beach,El Centro,0.0133,0.0906,0,0
Laguna Beach,El Monte,0.1334,0.0906,0.0651,0.1647
Laguna Beach,El Segundo,0.9472,0.0906,0.1302,1.4003
Laguna Beach,Encinitas,0.2401,0.4529,0.4557,0.1236
Laguna Beach,Escondido,0.1734,0.1812,0.1302,0.1853
Laguna Beach,Fillmore,0,0,0,0
Laguna Beach,Fontana,0.1601,0.3623,0.2604,0.0824
Laguna Beach,Fountain Valley,0.7337,0.6341,0.8464,0.7208
Laguna Beach,Fullerton,0.5336,0.5435,0.4557,0.556
Laguna Beach,Garden Grove,0.7471,1.087,0.7161,0.6796
Laguna Beach,Gardena,0.0667,0.0906,0.1302,0.0412
Laguna Beach,Glendale,0.3469,0.3623,0.5859,0.2677
Laguna Beach,Glendora,0.04,0.0906,0,0.0412
Laguna Beach,Grand Terrace,0.0267,0,0,0.0412
Laguna Beach,Hawaiian Gardens,0,0,0,0
Laguna Beach,Hawthorne,0.1334,0.0906,0.0651,0.1647
Laguna Beach,Hemet,0.0267,0.0906,0,0.0206
Laguna Beach,Hermosa Beach,0.0267,0,0.0651,0.0206
Laguna Beach,Hesperia,0.0534,0.0906,0,0.0618
Laguna Beach,Hidden Hills,0,0,0,0
Laguna Beach,Highland,0.0133,0.0906,0,0
Laguna Beach,Holtville,0,0,0,0
Laguna Beach,Huntington Beach,1.5875,1.1775,2.1484,1.5033
Laguna Beach,Huntington Park,0.0133,0,0,0.0206
Laguna Beach,Imperial,0,0,0,0
Laguna Beach,Imperial Beach,0,0,0,0
Laguna Beach,Indian Wells,0,0,0,0
Laguna Beach,Indio,0,0,0,0
Laguna Beach,Industry,0.2401,0.0906,0.3906,0.2265
Laguna Beach,Inglewood,0.0534,0,0,0.0824
Laguna Beach,Irvine,17.6761,9.6014,12.3698,21.1903
