home_city,work_city,all_worker_ratio,low_income_worker_ratio,medium_income_worker_ratio,high_income_worker_ratio
Laguna Hills,Adelanto,0.0082,0,0,0.0141
Laguna Hills,Agoura Hills,0.0493,0,0.0952,0.0424
Laguna Hills,Alhambra,0.0411,0.1553,0,0.0282
Laguna Hills,Aliso Viejo,3.1481,2.9503,3.0457,3.2477
Laguna Hills,Anaheim,3.0248,3.3126,3.4581,2.7535
Laguna Hills,Apple Valley,0.0082,0,0,0.0141
Laguna Hills,Arcadia,0.0411,0,0.1269,0.0141
Laguna Hills,Artesia,0.0164,0.0518,0.0317,0
Laguna Hills,Azusa,0.0247,0.0518,0.0317,0.0141
Laguna Hills,Baldwin Park,0.0658,0.1553,0.0635,0.0424
Laguna Hills,Banning,0.0082,0.0518,0,0
Laguna Hills,Barstow,0,0,0,0
Laguna Hills,Beaumont,0,0,0,0
Laguna Hills,Bell,0.0164,0,0,0.0282
Laguna Hills,Bell Gardens,0.0247,0.0518,0,0.0282
Laguna Hills,Bellflower,0.0411,0,0.0635,0.0424
Laguna Hills,Beverly Hills,0.1562,0.207,0.2221,0.113
Laguna Hills,Big Bear Lake,0,0,0,0
Laguna Hills,Blythe,0.0082,0,0,0.0141
Laguna Hills,Bradbury,0,0,0,0
Laguna Hills,Brawley,0,0,0,0
Laguna Hills,Brea,0.4192,0.4658,0.2855,0.466
Laguna Hills,Buena Park,0.2301,0.1035,0.3173,0.2259
Laguna Hills,Burbank,0.3781,0.9834,0.1904,0.2965
Laguna Hills,Calabasas,0.0329,0.1035,0.0317,0.0141
Laguna Hills,Calexico,0,0,0,0
Laguna Hills,Calimesa,0,0,0,0
Laguna Hills,Calipatria,0,0,0,0
Laguna Hills,Camarillo,0.0658,0,0.0952,0.0706
Laguna Hills,Canyon Lake,0,0,0,0
Laguna Hills,Carlsbad,0.4028,0.4141,0.3173,0.4377
Laguna Hills,Carson,0.2055,0.1553,0.2538,0.1977
Laguna Hills,Cathedral City,0.0164,0.0518,0,0.0141
Laguna Hills,Cerritos,0.263,0.3106,0.2221,0.2683
Laguna Hills,Chino,0.2384,0.1553,0.1904,0.2824
Laguna Hills,Chino Hills,0.0493,0,0.0635,0.0565
Laguna Hills,Chula Vista,0.0822,0.1035,0.2221,0.0141
Laguna Hills,Claremont,0.074,0,0.1269,0.0706
Laguna Hills,Coachella,0,0,0,0
Laguna Hills,Colton,0.0575,0,0.0317,0.0847
Laguna Hills,Commerce,0.2219,0.207,0.1586,0.2542
Laguna Hills,Compton,0.0658,0.1035,0.0635,0.0565
Laguna Hills,Corona,0.4932,0.3623,0.3807,0.5789
Laguna Hills,Coronado,0,0,0,0
Laguna Hills,Costa Mesa,4.3482,3.4161,4.3464,4.6032
Laguna Hills,Covina,0.0247,0.0518,0,0.0282
Laguna Hills,Cudahy,0,0,0,0
Laguna Hills,Culver City,0.3041,0.3623,0.3807,0.2542
Laguna Hills,Cypress,0.337,0.3106,0.1269,0.4377
Laguna Hills,Dana Point,1.0028,1.6563,1.7449,0.4942
Laguna Hills,Del Mar,0.0329,0.0518,0.0317,0.0282
Laguna Hills,Desert Hot Springs,0,0,0,0
Laguna Hills,Diamond Bar,0.0986,0.1035,0.0952,0.0988
Laguna Hills,Downey,0.1891,0.1553,0.2538,0.1694
Laguna Hills,Duarte,0.0082,0,0.0317,0
Laguna Hills,Eastvale,0.0082,0,0,0.0141
Laguna Hills,El Cajon,0.0575,0.0518,0.0635,0.0565
Laguna Hills,El Centro,0.0164,0.0518,0,0.0141
Laguna Hills,El Monte,0.0329,0.0518,0.0635,0.0141
Laguna Hills,El Segundo,0.748,0.1035,0.0952,1.2143
Laguna Hills,Encinitas,0.148,0.207,0.1904,0.113
Laguna Hills,Escondido,0.1891,0.1553,0.2538,0.1694
Laguna Hills,Fillmore,0,0,0,0
Laguna Hills,Fontana,0.2137,0.4141,0.1904,0.1694
Laguna Hills,Fountain Valley,1.0275,0.6729,1.269,1.0167
Laguna Hills,Fullerton,0.5589,0.5694,0.1586,0.7343
Laguna Hills,Garden Grove,0.7644,1.3975,0.4442,0.7343
Laguna Hills,Gardena,0.1151,0.3106,0.0952,0.0706
Laguna Hills,Glendale,0.3041,0.0518,0.349,0.353
Laguna Hills,Glendora,0.0904,0.207,0.1586,0.0282
Laguna Hills,Grand Terrace,0,0,0,0
Laguna Hills,Hawaiian Gardens,0.0329,0,0.0635,0.0282
Laguna Hills,Hawthorne,0.0904,0.1553,0.1269,0.0565
Laguna Hills,Hemet,0.0329,0,0,0.0565
Laguna Hills,Hermosa Beach,0.0411,0.1035,0.0317,0.0282
Laguna Hills,Hesperia,0.0493,0.1035,0,0.0565
Laguna Hills,Hidden Hills,0,0,0,0
Laguna Hills,Highland,0.0164,0.0518,0,0.0141
Laguna Hills,Holtville,0,0,0,0
Laguna Hills,Huntington Beach,1.7837,1.501,2.1891,1.6803
Laguna Hills,Huntington Park,0.0164,0,0.0317,0.0141
Laguna Hills,Imperial,0,0,0,0
Laguna Hills,Imperial Beach,0,0,0,0
Laguna Hills,Indian Wells,0.0164,0.0518,0,0.0141
Laguna Hills,Indio,0.0329,0.0518,0.0317,0.0282
Laguna Hills,Industry,0.263,0.1035,0.2538,0.3106
Laguna Hills,Inglewood,0.0904,0,0.1904,0.0706
Laguna Hills,Irvine,17.9024,10.9731,12.9442,21.9994
Laguna Hills,Irwindale,0.0658,0,0.0317,0.0988
Laguna Hills,Jurupa Valley,0.0986,0.207,0.0635,0.0847
Laguna Hills,La Canada Flintridge,0.0164,0,0.0317,0.0141
Laguna Hills,La Habra,0.1233,0.1553,0.1269,0.113
Laguna Hills,La Habra Heights,0.0082,0,0,0.0141
Laguna Hills,La Mesa,0.0493,0.1035,0.0317,0.0424
Laguna Hills,La Mirada,0.1726,0.0518,0.1904,0.1977
Laguna Hills,La Palma,0.0164,0,0,0.0282
Laguna Hills,La Puente,0,0,0,0
Laguna Hills,La Quinta,0.0082,0.0518,0,0
Laguna Hills,La Verne,0.0164,0,0,0.0282
Laguna Hills,Laguna Beach,1.0603,1.294,1.4594,0.819
Laguna Hills,Laguna Hills,5.951,8.1781,8.0266,4.4197
Laguna Hills,Laguna Niguel,2.9262,4.2443,3.8388,2.1604
Laguna Hills,Laguna Woods,0.9535,3.0021,1.0787,0.3389
Laguna Hills,Lake Elsinore,0.0493,0,0.1586,0.0141
Laguna Hills,Lake Forest,4.1756,4.7619,5.4569,3.4454
Laguna Hills,Lakewood,0.0904,0.1553,0.0635,0.0847
Laguna Hills,Lancaster,0.074,0.207,0.0317,0.0565
Laguna Hills,Lawndale,0.0082,0,0,0.0141
Laguna Hills,Lemon Grove,0.0082,0,0,0.0141
Laguna Hills,Loma Linda,0.074,0,0,0.1271
Laguna Hills,Lomita,0.0082,0,0.0317,0
Laguna Hills,Long Beach,1.0603,0.9834,0.698,1.2426
Laguna Hills,Los Alamitos,0.1397,0.0518,0.0635,0.1977
Laguna Hills,Los Angeles,4.8907,4.9689,3.9023,5.3092
Laguna Hills,Lynwood,0.0329,0,0.0317,0.0424
Laguna Hills,Malibu,0.0164,0.0518,0,0.0141
Laguna Hills,Manhattan Beach,0.1644,0.1553,0.2538,0.1271
Laguna Hills,Maywood,0,0,0,0
Laguna Hills,Menifee,0.0411,0.1035,0.0635,0.0141
Laguna Hills,Mission Viejo,5.7209,7.5569,7.7094,4.3349
Laguna Hills,Monrovia,0.0329,0,0.0635,0.0282
Laguna Hills,Montclair,0.0822,0.207,0.0952,0.0424
Laguna Hills,Montebello,0.0411,0,0,0.0706
Laguna Hills,Monterey Park,0.0822,0,0.0317,0.1271
Laguna Hills,Moorpark,0.0082,0.0518,0,0
Laguna Hills,Moreno Valley,0.0575,0.0518,0.0635,0.0565
Laguna Hills,Murrieta,0.0986,0.0518,0.1586,0.0847
Laguna Hills,National City,0.0904,0.1553,0.0317,0.0988
Laguna Hills,Needles,0,0,0,0
Laguna Hills,Newport Beach,4.7345,3.3644,4.3147,5.2951
Laguna Hills,Norco,0.0411,0.1553,0,0.0282
Laguna Hills,Norwalk,0.1644,0.207,0.1586,0.1553
Laguna Hills,Oceanside,0.1233,0.1035,0.2538,0.0706
Laguna Hills,Ojai,0.0082,0,0,0.0141
Laguna Hills,Ontario,0.3863,0.3623,0.3807,0.3954
Laguna Hills,Orange,2.6221,2.8468,2.6967,2.5275
Laguna Hills,Oxnard,0.0904,0,0.1904,0.0706
Laguna Hills,Palm Desert,0.0904,0.1035,0.1269,0.0706
Laguna Hills,Palm Springs,0.0493,0,0.0317,0.0706
Laguna Hills,Palmdale,0.0247,0,0.0635,0.0141
Laguna Hills,Palos Verdes Estates,0,0,0,0
Laguna Hills,Paramount,0.0329,0,0.0317,0.0424
Laguna Hills,Pasadena,0.3123,0.3106,0.2538,0.3389
Laguna Hills,Perris,0.0411,0.207,0,0.0141
Laguna Hills,Pico Rivera,0.0247,0,0,0.0424
Laguna Hills,Placentia,0.148,0.3623,0.0317,0.1412
Laguna Hills,Pomona,0.0658,0,0,0.113
Laguna Hills,Port Hueneme,0.0082,0,0.0317,0
Laguna Hills,Poway,0.0247,0,0,0.0424
