home_city,work_city,all_worker_ratio,low_income_worker_ratio,medium_income_worker_ratio,high_income_worker_ratio
Laguna Woods,Adelanto,0.0204,0,0,0.0386
Laguna Woods,Agoura Hills,0.0204,0,0,0.0386
Laguna Woods,Alhambra,0.1019,0.0999,0.0762,0.1157
Laguna Woods,Aliso Viejo,2.446,3.0969,2.2104,2.3139
Laguna Woods,Anaheim,2.6702,3.6963,3.125,2.044
Laguna Woods,Apple Valley,0.0204,0,0,0.0386
Laguna Woods,Arcadia,0.1019,0.2997,0,0.0771
Laguna Woods,Artesia,0.0611,0,0.1524,0.0386
Laguna Woods,Azusa,0.1223,0.2997,0,0.1157
Laguna Woods,Baldwin Park,0.0611,0,0,0.1157
Laguna Woods,Banning,0,0,0,0
Laguna Woods,Barstow,0,0,0,0
Laguna Woods,Beaumont,0.0204,0.0999,0,0
Laguna Woods,Bell,0.0611,0,0.0762,0.0771
Laguna Woods,Bell Gardens,0.0204,0,0,0.0386
Laguna Woods,Bellflower,0.0815,0.0999,0.0762,0.0771
Laguna Woods,Beverly Hills,0.4688,0.1998,0.5335,0.5399
Laguna Woods,Big Bear Lake,0.0204,0,0.0762,0
Laguna Woods,Blythe,0,0,0,0
Laguna Woods,Bradbury,0,0,0,0
Laguna Woods,Brawley,0,0,0,0
Laguna Woods,Brea,0.5707,0.0999,0.4573,0.8099
Laguna Woods,Buena Park,0.2854,0.0999,0.3811,0.3085
Laguna Woods,Burbank,0.5096,0.5994,0.2287,0.617
Laguna Woods,Calabasas,0.1834,0.2997,0.1524,0.1543
Laguna Woods,Calexico,0,0,0,0
Laguna Woods,Calimesa,0,0,0,0
Laguna Woods,Calipatria,0,0,0,0
Laguna Woods,Camarillo,0.0815,0,0.0762,0.1157
Laguna Woods,Canyon Lake,0,0,0,0
Laguna Woods,Carlsbad,0.3261,0.0999,0.2287,0.4628
Laguna Woods,Carson,0.4077,0.0999,0.5335,0.4628
Laguna Woods,Cathedral City,0.0408,0.1998,0,0
Laguna Woods,Cerritos,0.4688,0,0.3049,0.7327
Laguna Woods,Chino,0.2854,0.1998,0.2287,0.3471
Laguna Woods,Chino Hills,0.0408,0,0,0.0771
Laguna Woods,Chula Vista,0.1427,0.0999,0.2287,0.1157
Laguna Woods,Claremont,0.0408,0.1998,0,0
Laguna Woods,Coachella,0,0,0,0
Laguna Woods,Colton,0,0,0,0
Laguna Woods,Commerce,0.1834,0.0999,0.2287,0.1928
Laguna Woods,Compton,0.1223,0.0999,0.2287,0.0771
Laguna Woods,Corona,0.5911,0.4995,0,0.9256
Laguna Woods,Coronado,0,0,0,0
Laguna Woods,Costa Mesa,3.8524,3.8961,3.5823,3.9722
Laguna Woods,Covina,0.0815,0,0,0.1543
Laguna Woods,Cudahy,0,0,0,0
Laguna Woods,Culver City,0.3465,0.4995,0.2287,0.3471
Laguna Woods,Cypress,0.7746,0.2997,0.3811,1.157
Laguna Woods,Dana Point,0.9172,0.999,1.6006,0.5399
Laguna Woods,Del Mar,0,0,0,0
Laguna Woods,Desert Hot Springs,0,0,0,0
Laguna Woods,Diamond Bar,0.1019,0,0.0762,0.1543
Laguna Woods,Downey,0.2854,0.0999,0.2287,0.3857
Laguna Woods,Duarte,0.0204,0,0.0762,0
Laguna Woods,Eastvale,0.1223,0.1998,0.1524,0.0771
Laguna Woods,El Cajon,0.1019,0.0999,0.0762,0.1157
Laguna Woods,El Centro,0,0,0,0
Laguna Woods,El Monte,0.1223,0,0.2287,0.1157
Laguna Woods,El Segundo,1.1415,0.1998,0,2.0825
Laguna Woods,Encinitas,0.0815,0.0999,0,0.1157
Laguna Woods,Escondido,0.1631,0.0999,0.5335,0
Laguna Woods,Fillmore,0,0,0,0
Laguna Woods,Fontana,0.1631,0.0999,0.2287,0.1543
Laguna Woods,Fountain Valley,1.0395,1.2987,1.2195,0.8484
Laguna Woods,Fullerton,0.7542,0.4995,0.5335,0.9641
Laguna Woods,Garden Grove,0.9784,0.5994,1.6768,0.7713
Laguna Woods,Gardena,0.1019,0,0.1524,0.1157
Laguna Woods,Glendale,0.3261,0.0999,0.3811,0.3857
Laguna Woods,Glendora,0.1427,0.1998,0,0.1928
Laguna Woods,Grand Terrace,0.0204,0,0,0.0386
Laguna Woods,Hawaiian Gardens,0.0204,0,0,0.0386
Laguna Woods,Hawthorne,0.1427,0,0.2287,0.1543
Laguna Woods,Hemet,0.1019,0.1998,0.0762,0.0771
Laguna Woods,Hermosa Beach,0.0815,0,0.0762,0.1157
Laguna Woods,Hesperia,0.0408,0.0999,0.0762,0
Laguna Woods,Hidden Hills,0,0,0,0
Laguna Woods,Highland,0,0,0,0
Laguna Woods,Holtville,0,0,0,0
Laguna Woods,Huntington Beach,1.5491,1.8981,1.6006,1.3884
Laguna Woods,Huntington Park,0.0204,0,0,0.0386
Laguna Woods,Imperial,0.0204,0,0,0.0386
Laguna Woods,Imperial Beach,0,0,0,0
Laguna Woods,Indian Wells,0,0,0,0
Laguna Woods,Indio,0.0408,0.0999,0,0.0386
Laguna Woods,Industry,0.428,0,0.3811,0.617
Laguna Woods,Inglewood,0.0408,0,0,0.0771
Laguna Woods,Irvine,13.2083,8.3916,10.747,16.3132
Laguna Woods,Irwindale,0.0204,0,0,0.0386
