home_city,work_city,all_worker_ratio,low_income_worker_ratio,medium_income_worker_ratio,high_income_worker_ratio
Los Alamitos,Adelanto,0,0,0,0
Los Alamitos,Agoura Hills,0.0191,0,0,0.0349
Los Alamitos,Alhambra,0.1718,0.3198,0.2089,0.1047
Los Alamitos,Aliso Viejo,0.1145,0,0.2089,0.1047
Los Alamitos,Anaheim,4.3146,4.9041,5.2228,3.6662
Los Alamitos,Apple Valley,0,0,0,0
Los Alamitos,Arcadia,0,0,0,0
Los Alamitos,Artesia,0.2482,0.2132,0.0696,0.3492
Los Alamitos,Azusa,0.0764,0.2132,0.0696,0.0349
Los Alamitos,Baldwin Park,0.21,0.1066,0.2089,0.2444
Los Alamitos,Banning,0,0,0,0
Los Alamitos,Barstow,0,0,0,0
Los Alamitos,Beaumont,0,0,0,0
Los Alamitos,Bell,0.0764,0,0.2786,0
Los Alamitos,Bell Gardens,0.1527,0.2132,0.1393,0.1397
Los Alamitos,Bellflower,0.6109,0.4264,0.8357,0.5587
Los Alamitos,Beverly Hills,0.0764,0,0.0696,0.1047
Los Alamitos,Big Bear Lake,0,0,0,0
Los Alamitos,Blythe,0,0,0,0
Los Alamitos,Bradbury,0,0,0,0
Los Alamitos,Brawley,0.0191,0,0,0.0349
Los Alamitos,Brea,0.84,0.6397,0.6964,0.9777
Los Alamitos,Buena Park,1.5273,2.7719,1.1838,1.2919
Los Alamitos,Burbank,0.4773,0.4264,0.6267,0.419
Los Alamitos,Calabasas,0.0382,0,0.1393,0
Los Alamitos,Calexico,0,0,0,0
Los Alamitos,Calimesa,0,0,0,0
Los Alamitos,Calipatria,0,0,0,0
Los Alamitos,Camarillo,0.0764,0.1066,0.0696,0.0698
Los Alamitos,Canyon Lake,0,0,0,0
Los Alamitos,Carlsbad,0.1718,0.3198,0.1393,0.1397
Los Alamitos,Carson,1.2982,0.4264,0.9749,1.7458
Los Alamitos,Cathedral City,0.0382,0.1066,0.0696,0
Los Alamitos,Cerritos,2.0237,1.4925,2.4373,1.9902
Los Alamitos,Chino,0.0382,0,0.0696,0.0349
Los Alamitos,Chino Hills,0.0573,0.1066,0,0.0698
Los Alamitos,Chula Vista,0.0955,0,0.2786,0.0349
Los Alamitos,Claremont,0.0382,0,0,0.0698
Los Alamitos,Coachella,0,0,0,0
Los Alamitos,Colton,0.0573,0,0.1393,0.0349
Los Alamitos,Commerce,0.8018,0.6397,0.9053,0.8031
Los Alamitos,Compton,0.4773,0.6397,0.6267,0.3492
Los Alamitos,Corona,0.4391,0.3198,0.766,0.3142
Los Alamitos,Coronado,0.0191,0,0,0.0349
Los Alamitos,Costa Mesa,1.5273,1.1727,2.0891,1.3617
Los Alamitos,Covina,0.1145,0.2132,0.1393,0.0698
Los Alamitos,Cudahy,0.0573,0.1066,0,0.0698
Los Alamitos,Culver City,0.2482,0.3198,0.2786,0.2095
Los Alamitos,Cypress,3.9137,4.1578,2.9248,4.3296
Los Alamitos,Dana Point,0.0191,0,0,0.0349
Los Alamitos,Del Mar,0,0,0,0
Los Alamitos,Desert Hot Springs,0,0,0,0
Los Alamitos,Diamond Bar,0.3055,0.2132,0.1393,0.419
Los Alamitos,Downey,0.9546,0.8529,1.1142,0.9078
Los Alamitos,Duarte,0.0573,0,0,0.1047
Los Alamitos,Eastvale,0.0191,0,0,0.0349
Los Alamitos,El Cajon,0.0764,0.2132,0.1393,0
Los Alamitos,El Centro,0,0,0,0
Los Alamitos,El Monte,0.0764,0,0.0696,0.1047
Los Alamitos,El Segundo,0.8973,0.1066,0.3482,1.4316
Los Alamitos,Encinitas,0.0764,0.1066,0.1393,0.0349
Los Alamitos,Escondido,0.1336,0.1066,0.3482,0.0349
Los Alamitos,Fillmore,0,0,0,0
Los Alamitos,Fontana,0.1909,0.2132,0.0696,0.2444
Los Alamitos,Fountain Valley,1.1646,0.6397,1.4624,1.1872
Los Alamitos,Fullerton,1.5846,1.4925,1.3231,1.7458
Los Alamitos,Garden Grove,2.3864,2.9851,2.8552,1.9553
Los Alamitos,Gardena,0.2482,0.1066,0.2786,0.2793
Los Alamitos,Glendale,0.4009,0.2132,0.4178,0.4539
Los Alamitos,Glendora,0.1336,0.2132,0.2089,0.0698
Los Alamitos,Grand Terrace,0,0,0,0
Los Alamitos,Hawaiian Gardens,0.1718,0,0.2786,0.1746
Los Alamitos,Hawthorne,0.1718,0.1066,0.1393,0.2095
Los Alamitos,Hemet,0.0382,0,0.1393,0
Los Alamitos,Hermosa Beach,0.0764,0.1066,0.0696,0.0698
Los Alamitos,Hesperia,0.0764,0.1066,0.1393,0.0349
Los Alamitos,Hidden Hills,0,0,0,0
Los Alamitos,Highland,0,0,0,0
Los Alamitos,Holtville,0,0,0,0
Los Alamitos,Huntington Beach,3.6655,4.9041,3.0641,3.5615
Los Alamitos,Huntington Park,0.3055,0.533,0.5571,0.1047
Los Alamitos,Imperial,0,0,0,0
Los Alamitos,Imperial Beach,0,0,0,0
Los Alamitos,Indian Wells,0,0,0,0
