home_city,work_city,all_worker_ratio,low_income_worker_ratio,medium_income_worker_ratio,high_income_worker_ratio
Newport Beach,Adelanto,0.0167,0.05,0,0.0152
Newport Beach,Agoura Hills,0.0535,0.075,0.0976,0.0354
Newport Beach,Alhambra,0.0602,0.05,0.0813,0.0557
Newport Beach,Aliso Viejo,1.1205,0.8254,0.6992,1.3114
Newport Beach,Anaheim,2.9768,2.9515,3.3171,2.8759
Newport Beach,Apple Valley,0.0301,0.05,0.0163,0.0304
Newport Beach,Arcadia,0.1304,0.2501,0.1301,0.1063
Newport Beach,Artesia,0.01,0.05,0.0163,0
Newport Beach,Azusa,0.0669,0.1501,0.065,0.0506
Newport Beach,Baldwin Park,0.0769,0.075,0.0488,0.0861
Newport Beach,Banning,0.0067,0,0.0163,0.0051
Newport Beach,Barstow,0.0134,0,0,0.0203
Newport Beach,Beaumont,0.0201,0.05,0.0163,0.0152
Newport Beach,Bell,0.0401,0.025,0.0488,0.0405
Newport Beach,Bell Gardens,0.0134,0,0,0.0203
Newport Beach,Bellflower,0.0602,0.05,0.0813,0.0557
Newport Beach,Beverly Hills,0.2107,0.2501,0.2602,0.1873
Newport Beach,Big Bear Lake,0.0167,0.025,0,0.0203
Newport Beach,Blythe,0.0033,0,0,0.0051
Newport Beach,Bradbury,0,0,0,0
Newport Beach,Brawley,0.0033,0.025,0,0
Newport Beach,Brea,0.4716,0.6003,0.5528,0.4203
Newport Beach,Buena Park,0.2642,0.2751,0.3089,0.2481
Newport Beach,Burbank,0.4214,1.0255,0.1789,0.3747
Newport Beach,Calabasas,0.0569,0.075,0.0488,0.0557
Newport Beach,Calexico,0.0067,0,0.0325,0
Newport Beach,Calimesa,0.0033,0.025,0,0
Newport Beach,Calipatria,0,0,0,0
Newport Beach,Camarillo,0.0669,0.05,0.0325,0.081
Newport Beach,Canyon Lake,0.0033,0,0,0.0051
Newport Beach,Carlsbad,0.4315,0.3252,0.4715,0.4405
Newport Beach,Carson,0.2141,0.2251,0.1301,0.238
Newport Beach,Cathedral City,0.0234,0.025,0.0163,0.0253
Newport Beach,Cerritos,0.3378,0.2501,0.3252,0.3595
Newport Beach,Chino,0.2341,0.2501,0.2602,0.2228
Newport Beach,Chino Hills,0.0702,0.1501,0.0488,0.0608
Newport Beach,Chula Vista,0.1104,0.2251,0.2276,0.0506
Newport Beach,Claremont,0.0702,0.2251,0.0813,0.0354
Newport Beach,Coachella,0.0067,0.025,0.0163,0
Newport Beach,Colton,0.0569,0,0.065,0.0658
Newport Beach,Commerce,0.1639,0.1501,0.2276,0.1468
Newport Beach,Compton,0.1003,0.075,0.1789,0.081
Newport Beach,Corona,0.5586,0.5753,0.748,0.4962
Newport Beach,Coronado,0.0067,0,0.0163,0.0051
Newport Beach,Costa Mesa,8.325,9.4047,10.1951,7.5241
