home_city,work_city,all_worker_ratio,low_income_worker_ratio,medium_income_worker_ratio,high_income_worker_ratio
Placentia,Adelanto,0.0038,0.023,0,0
Placentia,Agoura Hills,0.0153,0.023,0.0129,0.0143
Placentia,Alhambra,0.1836,0.0919,0.2315,0.1855
Placentia,Aliso Viejo,0.2983,0.3215,0.1929,0.3496
Placentia,Anaheim,10.5982,11.0243,13.7457,8.7192
Placentia,Apple Valley,0.0076,0,0.0129,0.0071
Placentia,Arcadia,0.2792,0.3675,0.3472,0.2141
Placentia,Artesia,0.0688,0.023,0.1157,0.0571
Placentia,Azusa,0.1606,0.2067,0.1157,0.1712
Placentia,Baldwin Park,0.2907,0.3445,0.2829,0.2783
Placentia,Banning,0.0038,0.023,0,0
Placentia,Barstow,0.0229,0,0.0643,0.0071
Placentia,Beaumont,0.0115,0.0459,0,0.0071
Placentia,Bell,0.13,0.1378,0.2057,0.0856
Placentia,Bell Gardens,0.0688,0.2756,0.0129,0.0357
Placentia,Bellflower,0.283,0.2297,0.2057,0.3425
Placentia,Beverly Hills,0.1912,0.1378,0.2057,0.1998
Placentia,Big Bear Lake,0.0115,0.023,0.0257,0
Placentia,Blythe,0,0,0,0
Placentia,Bradbury,0,0,0,0
Placentia,Brawley,0,0,0,0
Placentia,Brea,3.8553,3.8585,3.8318,3.8673
Placentia,Buena Park,1.0021,1.0565,1.1444,0.9062
Placentia,Burbank,0.6349,0.9187,0.4115,0.6707
Placentia,Calabasas,0.0382,0.0689,0,0.0499
Placentia,Calexico,0.0038,0,0.0129,0
Placentia,Calimesa,0,0,0,0
Placentia,Calipatria,0.0038,0,0,0.0071
Placentia,Camarillo,0.0382,0,0.0129,0.0642
Placentia,Canyon Lake,0.0191,0.0459,0.0129,0.0143
Placentia,Carlsbad,0.1912,0.2067,0.2443,0.157
Placentia,Carson,0.7573,0.5972,0.6172,0.8848
Placentia,Cathedral City,0.0076,0.023,0.0129,0
Placentia,Cerritos,0.6961,0.5512,0.8487,0.6564
Placentia,Chino,0.5584,0.4364,0.5915,0.578
Placentia,Chino Hills,0.218,0.4134,0.2315,0.1498
Placentia,Chula Vista,0.0612,0.1378,0.0772,0.0285
Placentia,Claremont,0.1645,0.1608,0.1543,0.1712
