home_city,work_city,all_worker_ratio,low_income_worker_ratio,medium_income_worker_ratio,high_income_worker_ratio
Rancho Santa Margarita,Adelanto,0.014,0,0,0.0225
Rancho Santa Margarita,Agoura Hills,0.0233,0.0624,0.0202,0.015
Rancho Santa Margarita,Alhambra,0.0605,0.0312,0.0605,0.0676
Rancho Santa Margarita,Aliso Viejo,2.0578,1.9027,2.1787,2.0502
Rancho Santa Margarita,Anaheim,2.4303,2.1522,2.0375,2.6434
Rancho Santa Margarita,Apple Valley,0.0372,0.0624,0.0807,0.015
Rancho Santa Margarita,Arcadia,0.0931,0.2495,0.0807,0.0601
Rancho Santa Margarita,Artesia,0.0186,0,0.0202,0.0225
Rancho Santa Margarita,Azusa,0.0652,0.0936,0.0605,0.0601
Rancho Santa Margarita,Baldwin Park,0.0559,0.1248,0.0807,0.03
Rancho Santa Margarita,Banning,0.014,0,0.0605,0
Rancho Santa Margarita,Barstow,0.0233,0.0312,0.0605,0.0075
Rancho Santa Margarita,Beaumont,0.0186,0.0624,0.0202,0.0075
Rancho Santa Margarita,Bell,0.0279,0.0312,0.0202,0.03
Rancho Santa Margarita,Bell Gardens,0.014,0,0,0.0225
Rancho Santa Margarita,Bellflower,0.0512,0.0624,0.0807,0.0375
Rancho Santa Margarita,Beverly Hills,0.1955,0.0936,0.1614,0.2328
Rancho Santa Margarita,Big Bear Lake,0.0279,0.0624,0.0202,0.0225
Rancho Santa Margarita,Blythe,0.014,0,0,0.0225
Rancho Santa Margarita,Bradbury,0,0,0,0
Rancho Santa Margarita,Brawley,0.0047,0,0.0202,0
Rancho Santa Margarita,Brea,0.4702,0.6238,0.5043,0.4205
Rancho Santa Margarita,Buena Park,0.2468,0.2495,0.2421,0.2478
Rancho Santa Margarita,Burbank,0.3026,0.8734,0.3228,0.1577
Rancho Santa Margarita,Calabasas,0.0559,0.0936,0.1009,0.03
Rancho Santa Margarita,Calexico,0,0,0,0
Rancho Santa Margarita,Calimesa,0.0047,0,0.0202,0
Rancho Santa Margarita,Calipatria,0,0,0,0
Rancho Santa Margarita,Camarillo,0.0652,0.0624,0.0605,0.0676
Rancho Santa Margarita,Canyon Lake,0.0047,0,0.0202,0
Rancho Santa Margarita,Carlsbad,0.5028,0.4055,0.5043,0.5257
Rancho Santa Margarita,Carson,0.2235,0.2807,0.2421,0.2028
Rancho Santa Margarita,Cathedral City,0.0047,0.0312,0,0
Rancho Santa Margarita,Cerritos,0.2421,0.4367,0.3631,0.1502
Rancho Santa Margarita,Chino,0.2049,0.2183,0.1614,0.2178
Rancho Santa Margarita,Chino Hills,0.135,0.1248,0.1412,0.1352
Rancho Santa Margarita,Chula Vista,0.0931,0.1248,0.2219,0.0375
Rancho Santa Margarita,Claremont,0.0466,0.0312,0.0605,0.0451
Rancho Santa Margarita,Coachella,0.0047,0,0,0.0075
Rancho Santa Margarita,Colton,0.0512,0.0624,0.0202,0.0601
Rancho Santa Margarita,Commerce,0.1164,0.1248,0.1614,0.0976
Rancho Santa Margarita,Compton,0.0652,0.1248,0.0605,0.0526
Rancho Santa Margarita,Corona,1.0662,1.3412,1.3516,0.8937
Rancho Santa Margarita,Coronado,0,0,0,0
Rancho Santa Margarita,Costa Mesa,3.3428,2.6201,2.905,3.6798
Rancho Santa Margarita,Covina,0.0512,0.0624,0.0403,0.0526
Rancho Santa Margarita,Cudahy,0.0186,0,0.0403,0.015
Rancho Santa Margarita,Culver City,0.2235,0.3431,0.1412,0.2253
Rancho Santa Margarita,Cypress,0.2793,0.2183,0.1412,0.3454
Rancho Santa Margarita,Dana Point,0.6378,0.811,1.1297,0.413
Rancho Santa Margarita,Del Mar,0.0093,0,0,0.015
Rancho Santa Margarita,Desert Hot Springs,0.0093,0,0,0.015
Rancho Santa Margarita,Diamond Bar,0.1629,0.1248,0.2623,0.1352
Rancho Santa Margarita,Downey,0.149,0.0936,0.1816,0.1502
Rancho Santa Margarita,Duarte,0.0279,0.0312,0.0807,0.0075
Rancho Santa Margarita,Eastvale,0.1024,0.0936,0.2017,0.0676
Rancho Santa Margarita,El Cajon,0.0605,0.0624,0.0403,0.0676
Rancho Santa Margarita,El Centro,0.014,0,0.0202,0.015
Rancho Santa Margarita,El Monte,0.0791,0.0312,0.0807,0.0901
Rancho Santa Margarita,El Segundo,0.6332,0.156,0.1614,0.9237
Rancho Santa Margarita,Encinitas,0.1024,0.156,0.1412,0.0751
Rancho Santa Margarita,Escondido,0.2188,0.4367,0.2421,0.1577
Rancho Santa Margarita,Fillmore,0,0,0,0
Rancho Santa Margarita,Fontana,0.149,0.1871,0.1009,0.1577
Rancho Santa Margarita,Fountain Valley,0.5401,0.2807,0.5043,0.6158
Rancho Santa Margarita,Fullerton,0.4656,0.3743,0.6052,0.4356
Rancho Santa Margarita,Garden Grove,0.5168,0.5926,0.585,0.4731
Rancho Santa Margarita,Gardena,0.0512,0.0624,0.1009,0.03
Rancho Santa Margarita,Glendale,0.284,0.2183,0.3631,0.2704
Rancho Santa Margarita,Glendora,0.0605,0.1871,0.0202,0.0451
Rancho Santa Margarita,Grand Terrace,0.0047,0,0,0.0075
