home_city,work_city,all_worker_ratio,low_income_worker_ratio,medium_income_worker_ratio,high_income_worker_ratio
San Clemente,Adelanto,0.0134,0,0,0.0237
San Clemente,Agoura Hills,0.0224,0.0263,0.0511,0.0079
San Clemente,Alhambra,0.0671,0.0525,0.1022,0.0552
San Clemente,Aliso Viejo,1.5297,1.1289,1.3283,1.7435
San Clemente,Anaheim,1.8115,1.4439,1.6178,2.0117
San Clemente,Apple Valley,0.0268,0.0788,0.017,0.0158
San Clemente,Arcadia,0.1118,0.105,0.1362,0.1026
San Clemente,Artesia,0.0179,0,0.0341,0.0158
San Clemente,Azusa,0.0626,0.0788,0.0341,0.071
San Clemente,Baldwin Park,0.0492,0.0525,0.0341,0.0552
San Clemente,Banning,0.0134,0,0.0341,0.0079
San Clemente,Barstow,0.0089,0,0.017,0.0079
San Clemente,Beaumont,0.0268,0.0525,0,0.0316
San Clemente,Bell,0.0403,0.0263,0.017,0.0552
San Clemente,Bell Gardens,0.0268,0,0.0511,0.0237
San Clemente,Bellflower,0.0537,0.0263,0.0341,0.071
San Clemente,Beverly Hills,0.2058,0.2625,0.0681,0.2524
San Clemente,Big Bear Lake,0.0045,0,0.017,0
San Clemente,Blythe,0.0045,0,0,0.0079
San Clemente,Bradbury,0,0,0,0
San Clemente,Brawley,0.0045,0,0,0.0079
San Clemente,Brea,0.4383,0.4201,0.4087,0.4576
San Clemente,Buena Park,0.2192,0.3938,0.1703,0.1893
San Clemente,Burbank,0.2863,0.6038,0.1362,0.2603
San Clemente,Calabasas,0.0581,0.0525,0.0511,0.0631
San Clemente,Calexico,0.0089,0,0.0341,0
San Clemente,Calimesa,0,0,0,0
San Clemente,Calipatria,0,0,0,0
San Clemente,Camarillo,0.076,0.0525,0.1192,0.0631
San Clemente,Canyon Lake,0,0,0,0
San Clemente,Carlsbad,0.8006,0.5776,0.6982,0.9151
San Clemente,Carson,0.2415,0.2363,0.1873,0.2682
San Clemente,Cathedral City,0.0179,0.0263,0.017,0.0158
San Clemente,Cerritos,0.322,0.2625,0.2044,0.3944
San Clemente,Chino,0.1834,0.1575,0.1873,0.1893
San Clemente,Chino Hills,0.0626,0.0788,0.1022,0.0394
San Clemente,Chula Vista,0.1252,0.21,0.1703,0.0789
San Clemente,Claremont,0.0716,0.1313,0.0511,0.0631
San Clemente,Coachella,0,0,0,0
San Clemente,Colton,0.0268,0.0788,0.017,0.0158
San Clemente,Commerce,0.1476,0.105,0.1022,0.1814
San Clemente,Compton,0.0716,0.0525,0.0681,0.0789
San Clemente,Corona,0.4741,0.315,0.5279,0.497
San Clemente,Coronado,0.0089,0,0.017,0.0079
San Clemente,Costa Mesa,2.5406,2.2578,1.8563,2.9426
San Clemente,Covina,0.0447,0.0788,0.0511,0.0316
San Clemente,Cudahy,0,0,0,0
San Clemente,Culver City,0.2863,0.3413,0.2725,0.2761
San Clemente,Cypress,0.2594,0.1575,0.1192,0.355
San Clemente,Dana Point,3.6096,5.6183,5.8072,1.988
San Clemente,Del Mar,0.0134,0,0,0.0237
San Clemente,Desert Hot Springs,0,0,0,0
San Clemente,Diamond Bar,0.1163,0.0788,0.0681,0.1499
San Clemente,Downey,0.1744,0.105,0.1533,0.2051
San Clemente,Duarte,0.0403,0,0.0511,0.0473
San Clemente,Eastvale,0.076,0.0263,0.1192,0.071
San Clemente,El Cajon,0.1029,0.21,0.0511,0.0947
San Clemente,El Centro,0.0179,0.0525,0.0341,0
San Clemente,El Monte,0.0626,0.0525,0.0681,0.0631
San Clemente,El Segundo,0.7022,0.0788,0.2044,1.1202
San Clemente,Encinitas,0.1521,0.1575,0.2554,0.1026
San Clemente,Escondido,0.1968,0.4201,0.1703,0.142
San Clemente,Fillmore,0,0,0,0
San Clemente,Fontana,0.1968,0.2888,0.2214,0.1578
