home_city,work_city,all_worker_ratio,low_income_worker_ratio,medium_income_worker_ratio,high_income_worker_ratio
San Juan Capistrano,Adelanto,0.0083,0,0.0262,0
San Juan Capistrano,Agoura Hills,0,0,0,0
San Juan Capistrano,Alhambra,0.0747,0.0935,0.1047,0.0493
San Juan Capistrano,Aliso Viejo,2.0579,1.8709,2.0931,2.1015
San Juan Capistrano,Anaheim,2.0413,1.7774,2.0408,2.1343
San Juan Capistrano,Apple Valley,0.0166,0.0468,0.0262,0
San Juan Capistrano,Arcadia,0.1079,0.2339,0.1047,0.0657
San Juan Capistrano,Artesia,0.0332,0,0.0523,0.0328
San Juan Capistrano,Azusa,0.0913,0.1403,0.1308,0.0493
San Juan Capistrano,Baldwin Park,0.0913,0.0935,0.0785,0.0985
San Juan Capistrano,Banning,0.0415,0.0468,0.0785,0.0164
San Juan Capistrano,Barstow,0.0083,0,0.0262,0
San Juan Capistrano,Beaumont,0.0415,0,0.0523,0.0493
San Juan Capistrano,Bell,0.0415,0.0468,0.0262,0.0493
San Juan Capistrano,Bell Gardens,0.0332,0,0,0.0657
San Juan Capistrano,Bellflower,0.0664,0.0935,0.0523,0.0657
San Juan Capistrano,Beverly Hills,0.224,0.1403,0.314,0.197
San Juan Capistrano,Big Bear Lake,0.0166,0.0468,0,0.0164
San Juan Capistrano,Blythe,0,0,0,0
San Juan Capistrano,Bradbury,0,0,0,0
San Juan Capistrano,Brawley,0,0,0,0
San Juan Capistrano,Brea,0.4896,0.7016,0.3925,0.4761
San Juan Capistrano,Buena Park,0.224,0.0935,0.2616,0.2463
San Juan Capistrano,Burbank,0.4647,0.608,0.2355,0.5582
San Juan Capistrano,Calabasas,0.0249,0,0,0.0493
San Juan Capistrano,Calexico,0.0083,0.0468,0,0
San Juan Capistrano,Calimesa,0,0,0,0
San Juan Capistrano,Calipatria,0,0,0,0
San Juan Capistrano,Camarillo,0.0581,0.0468,0.0785,0.0493
San Juan Capistrano,Canyon Lake,0.0083,0,0,0.0164
San Juan Capistrano,Carlsbad,0.7634,0.5613,0.471,1.0179
San Juan Capistrano,Carson,0.1494,0.2339,0.157,0.1149
San Juan Capistrano,Cathedral City,0.0166,0,0,0.0328
San Juan Capistrano,Cerritos,0.3319,0.2339,0.314,0.3776
San Juan Capistrano,Chino,0.1245,0,0.157,0.1478
San Juan Capistrano,Chino Hills,0.1411,0.1871,0.157,0.1149
San Juan Capistrano,Chula Vista,0.1245,0.1871,0.1047,0.1149
San Juan Capistrano,Claremont,0.1577,0.1871,0.0523,0.2134
San Juan Capistrano,Coachella,0,0,0,0
San Juan Capistrano,Colton,0.0249,0,0,0.0493
San Juan Capistrano,Commerce,0.1162,0.2339,0.1308,0.0657
San Juan Capistrano,Compton,0.083,0.0935,0.0785,0.0821
San Juan Capistrano,Corona,0.6638,0.5613,0.5233,0.788
San Juan Capistrano,Coronado,0.0249,0.0935,0.0262,0
San Juan Capistrano,Costa Mesa,2.5143,1.9645,1.6484,3.2507
San Juan Capistrano,Covina,0.0498,0.1871,0.0262,0.0164
San Juan Capistrano,Cudahy,0.0083,0,0,0.0164
San Juan Capistrano,Culver City,0.3568,0.608,0.2616,0.3284
San Juan Capistrano,Cypress,0.2572,0.2339,0.1308,0.3448
San Juan Capistrano,Dana Point,4.871,7.3901,7.3522,2.4298
San Juan Capistrano,Del Mar,0.0083,0,0.0262,0
San Juan Capistrano,Desert Hot Springs,0,0,0,0
San Juan Capistrano,Diamond Bar,0.1411,0.0468,0.157,0.1642
San Juan Capistrano,Downey,0.1577,0.2339,0.0785,0.1806
San Juan Capistrano,Duarte,0.0332,0,0.0523,0.0328
San Juan Capistrano,Eastvale,0.0747,0,0.1047,0.0821
San Juan Capistrano,El Cajon,0.0581,0.1871,0,0.0493
San Juan Capistrano,El Centro,0.0332,0.0468,0,0.0493
San Juan Capistrano,El Monte,0.083,0.1403,0.0523,0.0821
San Juan Capistrano,El Segundo,0.5975,0.0468,0.2616,1.0015
San Juan Capistrano,Encinitas,0.1826,0.3274,0.314,0.0493
San Juan Capistrano,Escondido,0.2406,0.1871,0.3663,0.1806
San Juan Capistrano,Fillmore,0,0,0,0
San Juan Capistrano,Fontana,0.2323,0.3274,0.2093,0.2134
San Juan Capistrano,Fountain Valley,0.6472,0.2806,0.4186,0.9194
San Juan Capistrano,Fullerton,0.6887,0.8887,0.6279,0.6567
San Juan Capistrano,Garden Grove,0.5643,0.5613,0.3925,0.6731
San Juan Capistrano,Gardena,0.0996,0.1871,0.1832,0.0164
San Juan Capistrano,Glendale,0.3402,0.1871,0.3401,0.394
San Juan Capistrano,Glendora,0.0332,0.0468,0,0.0493
San Juan Capistrano,Grand Terrace,0,0,0,0
San Juan Capistrano,Hawaiian Gardens,0,0,0,0
San Juan Capistrano,Hawthorne,0.1577,0.2339,0.157,0.1313
San Juan Capistrano,Hemet,0.0664,0.0468,0.1047,0.0493
San Juan Capistrano,Hermosa Beach,0.0249,0,0,0.0493
San Juan Capistrano,Hesperia,0.0166,0.0468,0.0262,0
San Juan Capistrano,Hidden Hills,0,0,0,0
San Juan Capistrano,Highland,0.0166,0,0.0262,0.0164
San Juan Capistrano,Holtville,0,0,0,0
San Juan Capistrano,Huntington Beach,1.0124,0.8419,0.8896,1.1492
San Juan Capistrano,Huntington Park,0.0664,0.0468,0.1308,0.0328
San Juan Capistrano,Imperial,0,0,0,0
San Juan Capistrano,Imperial Beach,0,0,0,0
San Juan Capistrano,Indian Wells,0,0,0,0
San Juan Capistrano,Indio,0.0498,0.1403,0,0.0493
San Juan Capistrano,Industry,0.2489,0.1871,0.1832,0.3119
San Juan Capistrano,Inglewood,0.0664,0.0468,0.0262,0.0985
San Juan Capistrano,Irvine,11.1858,7.6707,8.0063,14.4147
San Juan Capistrano,Irwindale,0.0913,0,0.0785,0.1313
San Juan Capistrano,Jurupa Valley,0.1411,0.1871,0.0523,0.1806
San Juan Capistrano,La Canada Flintridge,0.0166,0.0935,0,0
San Juan Capistrano,La Habra,0.0664,0.0935,0.0523,0.0657
San Juan Capistrano,La Habra Heights,0,0,0,0
San Juan Capistrano,La Mesa,0.0415,0.0468,0.0523,0.0328
San Juan Capistrano,La Mirada,0.083,0.1403,0.0523,0.0821
San Juan Capistrano,La Palma,0.083,0,0,0.1642
San Juan Capistrano,La Puente,0.0083,0.0468,0,0
San Juan Capistrano,La Quinta,0.0166,0.0468,0,0.0164
San Juan Capistrano,La Verne,0.0913,0.0935,0.0262,0.1313
San Juan Capistrano,Laguna Beach,1.3692,1.637,1.9885,0.8866
San Juan Capistrano,Laguna Hills,2.2654,2.1983,2.9827,1.8388
San Juan Capistrano,Laguna Niguel,3.0039,4.3031,3.9508,1.9537
San Juan Capistrano,Laguna Woods,0.4398,0.5613,0.3663,0.4433
San Juan Capistrano,Lake Elsinore,0.0913,0.0935,0.1832,0.0328
San Juan Capistrano,Lake Forest,2.6554,2.3854,2.7473,2.6925
San Juan Capistrano,Lakewood,0.0664,0.1871,0.0262,0.0493
San Juan Capistrano,Lancaster,0.0747,0.0935,0.0523,0.0821
San Juan Capistrano,Lawndale,0.0083,0,0,0.0164
San Juan Capistrano,Lemon Grove,0.0083,0.0468,0,0
San Juan Capistrano,Loma Linda,0.0498,0.0468,0.0262,0.0657
San Juan Capistrano,Lomita,0.0083,0,0,0.0164
San Juan Capistrano,Long Beach,1.1119,1.029,0.9681,1.2313
San Juan Capistrano,Los Alamitos,0.0747,0,0,0.1478
San Juan Capistrano,Los Angeles,4.9788,3.8821,4.2648,5.8119
San Juan Capistrano,Lynwood,0.0166,0,0.0262,0.0164
San Juan Capistrano,Malibu,0.0083,0,0,0.0164
San Juan Capistrano,Manhattan Beach,0.0664,0.1403,0.0523,0.0493
San Juan Capistrano,Maywood,0,0,0,0
San Juan Capistrano,Menifee,0.0249,0.0468,0.0262,0.0164
San Juan Capistrano,Mission Viejo,5.8003,6.2675,6.8289,4.991
San Juan Capistrano,Monrovia,0.083,0.0935,0.0785,0.0821
San Juan Capistrano,Montclair,0.0498,0.0935,0.0785,0.0164
San Juan Capistrano,Montebello,0.083,0.1403,0.0523,0.0821
San Juan Capistrano,Monterey Park,0.0415,0.0468,0.0262,0.0493
San Juan Capistrano,Moorpark,0.0415,0,0.0523,0.0493
San Juan Capistrano,Moreno Valley,0.1162,0.1403,0.1832,0.0657
San Juan Capistrano,Murrieta,0.166,0.3274,0.2093,0.0821
San Juan Capistrano,National City,0.0415,0.0468,0.0523,0.0328
San Juan Capistrano,Needles,0,0,0,0
San Juan Capistrano,Newport Beach,3.1118,2.058,2.3025,3.9895
San Juan Capistrano,Norco,0.0332,0.0468,0,0.0493
San Juan Capistrano,Norwalk,0.0747,0.0935,0.0262,0.0985
San Juan Capistrano,Oceanside,0.3817,0.3742,0.314,0.4269
San Juan Capistrano,Ojai,0,0,0,0
San Juan Capistrano,Ontario,0.5726,0.7484,0.5233,0.5418
San Juan Capistrano,Orange,1.7592,1.1225,1.1512,2.3641
San Juan Capistrano,Oxnard,0.1245,0.2339,0.1308,0.0821
San Juan Capistrano,Palm Desert,0.1494,0.1403,0.2878,0.0657
San Juan Capistrano,Palm Springs,0.083,0.1403,0.1047,0.0493
San Juan Capistrano,Palmdale,0.0249,0,0.0262,0.0328
San Juan Capistrano,Palos Verdes Estates,0.0166,0.0468,0,0.0164
San Juan Capistrano,Paramount,0.0415,0,0.0523,0.0493
San Juan Capistrano,Pasadena,0.4896,0.4677,0.2093,0.6731
San Juan Capistrano,Perris,0.0913,0.0935,0.1308,0.0657
San Juan Capistrano,Pico Rivera,0.0664,0.0468,0.0523,0.0821
San Juan Capistrano,Placentia,0.1328,0.1871,0.1308,0.1149
San Juan Capistrano,Pomona,0.1577,0.1403,0.157,0.1642
San Juan Capistrano,Port Hueneme,0.0083,0,0,0.0164
San Juan Capistrano,Poway,0.0415,0.0468,0.0523,0.0328
San Juan Capistrano,Rancho Cucamonga,0.3236,0.3274,0.4186,0.2627
San Juan Capistrano,Rancho Mirage,0.0664,0.0935,0.0785,0.0493
San Juan Capistrano,Rancho Palos Verdes,0.0581,0,0.1308,0.0328
San Juan Capistrano,Rancho Santa Margarita,1.95,2.479,2.381,1.494
San Juan Capistrano,Redlands,0.0996,0.0935,0.1047,0.0985
San Juan Capistrano,Redondo Beach,0.1494,0.0935,0.2355,0.1149
San Juan Capistrano,Rialto,0.0747,0.0468,0.1308,0.0493
San Juan Capistrano,Riverside,0.697,0.8419,0.6541,0.6731
San Juan Capistrano,Rolling Hills,0,0,0,0
San Juan Capistrano,Rolling Hills Estates,0.0166,0,0.0523,0
San Juan Capistrano,Rosemead,0.0498,0,0,0.0985
San Juan Capistrano,San Bernardino,0.3568,0.5145,0.2616,0.3612
San Juan Capistrano,San Buenaventura,0.1245,0.1403,0.157,0.0985
San Juan Capistrano,San Clemente,6.6882,7.6707,8.5296,5.188
San Juan Capistrano,San Diego,2.4562,2.1983,1.8577,2.9223
San Juan Capistrano,San Dimas,0.2075,0.2339,0.1308,0.2463
San Juan Capistrano,San Fernando,0.0249,0.0468,0,0.0328
San Juan Capistrano,San Gabriel,0,0,0,0
San Juan Capistrano,San Jacinto,0.0083,0,0,0.0164
San Juan Capistrano,San Juan Capistrano,9.5926,13.6109,11.5646,6.9447
San Juan Capistrano,San Marcos,0.2157,0.3274,0.157,0.2134
San Juan Capistrano,San Marino,0.0083,0,0.0262,0
San Juan Capistrano,Santa Ana,3.4603,1.7774,2.6949,4.5313
San Juan Capistrano,Santa Clarita,0.166,0.3742,0.0785,0.1478
San Juan Capistrano,Santa Fe Springs,0.4149,0.0935,0.2616,0.6239
San Juan Capistrano,Santa Monica,0.2323,0.3742,0.2616,0.1642
San Juan Capistrano,Santa Paula,0.0083,0,0,0.0164
San Juan Capistrano,Santee,0.0664,0.0935,0.0523,0.0657
San Juan Capistrano,Seal Beach,0.1328,0.0468,0.0785,0.197
San Juan Capistrano,Sierra Madre,0.0083,0,0,0.0164
San Juan Capistrano,Signal Hill,0.166,0.0935,0.0523,0.2627
San Juan Capistrano,Simi Valley,0.0913,0.0468,0.1047,0.0985
San Juan Capistrano,Solana Beach,0.0664,0.1403,0.0523,0.0493
San Juan Capistrano,South El Monte,0,0,0,0
San Juan Capistrano,South Gate,0.0664,0,0.0262,0.1149
