home_city,work_city,all_worker_ratio,low_income_worker_ratio,medium_income_worker_ratio,high_income_worker_ratio
Santa Ana,Adelanto,0.0073,0.0046,0.0095,0.0056
Santa Ana,Agoura Hills,0.0209,0.0414,0.0171,0.014
Santa Ana,Alhambra,0.0664,0.0827,0.0609,0.0645
Santa Ana,Aliso Viejo,0.4492,0.3953,0.4148,0.5328
Santa Ana,Anaheim,6.9415,7.1425,7.4968,6.0006
Santa Ana,Apple Valley,0.0282,0.0506,0.0266,0.0168
Santa Ana,Arcadia,0.1109,0.1701,0.118,0.0645
Santa Ana,Artesia,0.0418,0.046,0.0533,0.0224
Santa Ana,Azusa,0.0782,0.0827,0.0799,0.0729
Santa Ana,Baldwin Park,0.0691,0.0643,0.0476,0.1037
Santa Ana,Banning,0.01,0.0138,0.0133,0.0028
Santa Ana,Barstow,0.0282,0.0506,0.0266,0.0168
Santa Ana,Beaumont,0.0218,0.046,0.0209,0.0084
Santa Ana,Bell,0.12,0.1976,0.1427,0.0393
Santa Ana,Bell Gardens,0.0246,0.0184,0.0247,0.028
Santa Ana,Bellflower,0.1055,0.1195,0.0856,0.1262
Santa Ana,Beverly Hills,0.1228,0.1471,0.0799,0.171
Santa Ana,Big Bear Lake,0.0109,0.0184,0.0133,0.0028
Santa Ana,Blythe,0.0082,0.0046,0.0076,0.0112
Santa Ana,Bradbury,0,0,0,0
Santa Ana,Brawley,0.0064,0.0092,0.0038,0.0084
Santa Ana,Brea,0.832,0.9422,0.7497,0.8861
Santa Ana,Buena Park,0.6692,0.7446,0.6736,0.6169
Santa Ana,Burbank,0.2473,0.3677,0.196,0.2496
Santa Ana,Calabasas,0.0455,0.0506,0.0285,0.0673
Santa Ana,Calexico,0.0064,0.0092,0.0095,0
Santa Ana,Calimesa,0.0036,0,0.0057,0.0028
Santa Ana,Calipatria,0.0009,0,0,0.0028
Santa Ana,Camarillo,0.05,0.0506,0.0419,0.0617
Santa Ana,Canyon Lake,0.0018,0,0.0038,0
Santa Ana,Carlsbad,0.241,0.2482,0.2359,0.244
Santa Ana,Carson,0.3119,0.2528,0.3653,0.2692
Santa Ana,Cathedral City,0.0218,0.0322,0.0247,0.0112
Santa Ana,Cerritos,0.3492,0.4366,0.2854,0.3898
Santa Ana,Chino,0.2091,0.2022,0.2188,0.1991
Santa Ana,Chino Hills,0.1191,0.1838,0.1294,0.0645
Santa Ana,Chula Vista,0.0846,0.1517,0.0761,0.0561
Santa Ana,Claremont,0.0527,0.0598,0.0304,0.0813
Santa Ana,Coachella,0.0155,0.0138,0.0171,0.014
Santa Ana,Colton,0.0473,0.0598,0.0323,0.0617
Santa Ana,Commerce,0.2301,0.3493,0.2074,0.1907
Santa Ana,Compton,0.17,0.2988,0.1712,0.0897
Santa Ana,Corona,0.6365,0.717,0.548,0.7178
Santa Ana,Coronado,0.0109,0.0184,0.0114,0.0056
Santa Ana,Costa Mesa,5.5103,5.5614,5.6587,5.2604
Santa Ana,Covina,0.0955,0.1609,0.0932,0.0589
Santa Ana,Cudahy,0.0145,0.0092,0.0228,0.0056
Santa Ana,Culver City,0.2146,0.4137,0.1617,0.171
Santa Ana,Cypress,0.5492,0.3723,0.5252,0.6926
Santa Ana,Dana Point,0.1346,0.1425,0.1503,0.1066
Santa Ana,Del Mar,0.0045,0.0046,0.0057,0.0028
Santa Ana,Desert Hot Springs,0,0,0,0
Santa Ana,Diamond Bar,0.1173,0.1609,0.0989,0.1178
Santa Ana,Downey,0.211,0.2482,0.1751,0.2411
Santa Ana,Duarte,0.0236,0.0322,0.0152,0.0308
Santa Ana,Eastvale,0.0591,0.0781,0.0533,0.0561
Santa Ana,El Cajon,0.0646,0.0827,0.04,0.0897
Santa Ana,El Centro,0.0173,0.023,0.0114,0.0224
Santa Ana,El Monte,0.1082,0.1563,0.1161,0.0673
Santa Ana,El Segundo,0.2,0.1149,0.0894,0.415
Santa Ana,Encinitas,0.0527,0.0781,0.0514,0.0393
Santa Ana,Escondido,0.1309,0.0827,0.156,0.1234
Santa Ana,Fillmore,0.0027,0,0.0038,0.0028
Santa Ana,Fontana,0.1755,0.1793,0.1579,0.1991
Santa Ana,Fountain Valley,1.8386,1.912,1.8723,1.7441
Santa Ana,Fullerton,1.3448,1.3789,1.3547,1.3095
Santa Ana,Garden Grove,2.9115,4.5319,2.6619,2.2909
Santa Ana,Gardena,0.0964,0.0689,0.1047,0.1009
Santa Ana,Glendale,0.2146,0.262,0.1846,0.2299
Santa Ana,Glendora,0.0618,0.0735,0.0571,0.0617
Santa Ana,Grand Terrace,0.0036,0,0.0019,0.0084
Santa Ana,Hawaiian Gardens,0.0209,0.0184,0.0285,0.0112
Santa Ana,Hawthorne,0.0918,0.0873,0.0647,0.1346
Santa Ana,Hemet,0.0473,0.046,0.0533,0.0393
Santa Ana,Hermosa Beach,0.0127,0.0138,0.0152,0.0084
Santa Ana,Hesperia,0.0227,0.046,0.0209,0.0112
Santa Ana,Hidden Hills,0.0009,0,0.0019,0
Santa Ana,Highland,0.0145,0.0322,0.0057,0.0168
Santa Ana,Holtville,0,0,0,0
Santa Ana,Huntington Beach,2.7451,2.7118,2.7989,2.6863
Santa Ana,Huntington Park,0.07,0.1011,0.097,0.0112
Santa Ana,Imperial,0.0009,0,0,0.0028
Santa Ana,Imperial Beach,0.0018,0,0.0019,0.0028
Santa Ana,Indian Wells,0.0091,0.0046,0.0133,0.0056
Santa Ana,Indio,0.0209,0.0414,0.0171,0.014
Santa Ana,Industry,0.3137,0.2942,0.2683,0.3926
Santa Ana,Inglewood,0.0891,0.0735,0.1008,0.0813
Santa Ana,Irvine,12.3936,7.7492,11.8274,16.0615
Santa Ana,Irwindale,0.0618,0.0552,0.0647,0.0617
Santa Ana,Jurupa Valley,0.1264,0.1011,0.1389,0.1234
Santa Ana,La Canada Flintridge,0.0136,0.023,0.0114,0.0112
Santa Ana,La Habra,0.1828,0.2574,0.1941,0.1206
Santa Ana,La Habra Heights,0.0036,0,0.0057,0.0028
Santa Ana,La Mesa,0.0364,0.0689,0.0228,0.0365
Santa Ana,La Mirada,0.2146,0.2022,0.215,0.2215
Santa Ana,La Palma,0.0837,0.0827,0.0647,0.1122
Santa Ana,La Puente,0.0318,0.0322,0.0342,0.028
Santa Ana,La Quinta,0.0155,0.0368,0.0057,0.0168
Santa Ana,La Verne,0.05,0.0827,0.0457,0.0365
Santa Ana,Laguna Beach,0.2291,0.262,0.2493,0.1795
Santa Ana,Laguna Hills,0.5656,0.4826,0.6526,0.4879
Santa Ana,Laguna Niguel,0.3728,0.3309,0.3882,0.3757
Santa Ana,Laguna Woods,0.231,0.1195,0.255,0.2636
Santa Ana,Lake Elsinore,0.0709,0.0919,0.0837,0.0393
Santa Ana,Lake Forest,2.0677,1.1996,2.5535,1.8815
Santa Ana,Lakewood,0.1537,0.285,0.1446,0.0869
Santa Ana,Lancaster,0.0718,0.1149,0.0647,0.0561
Santa Ana,Lawndale,0.0191,0.0184,0.0171,0.0224
Santa Ana,Lemon Grove,0.0145,0.0276,0.0114,0.0112
Santa Ana,Loma Linda,0.0218,0.0046,0.0152,0.0421
Santa Ana,Lomita,0.0036,0.0046,0.0057,0
Santa Ana,Long Beach,1.0084,1.0939,0.8353,1.2113
Santa Ana,Los Alamitos,0.2119,0.1195,0.2112,0.2692
Santa Ana,Los Angeles,4.24,4.371,3.8511,4.7332
Santa Ana,Lynwood,0.0527,0.0873,0.0342,0.0589
Santa Ana,Malibu,0.0091,0.0184,0.0057,0.0084
Santa Ana,Manhattan Beach,0.0718,0.1241,0.059,0.0589
Santa Ana,Maywood,0.0809,0.262,0.0571,0.0056
Santa Ana,Menifee,0.03,0.0414,0.0209,0.0365
Santa Ana,Mission Viejo,0.6856,0.5699,0.7173,0.7094
Santa Ana,Monrovia,0.0827,0.0827,0.0856,0.0785
Santa Ana,Montclair,0.0791,0.1563,0.0837,0.0252
Santa Ana,Montebello,0.0918,0.1103,0.0666,0.1178
