home_city,work_city,all_worker_ratio,low_income_worker_ratio,medium_income_worker_ratio,high_income_worker_ratio
Seal Beach,Adelanto,0,0,0,0
Seal Beach,Agoura Hills,0.0459,0.0662,0.091,0.0199
Seal Beach,Alhambra,0.1261,0.1324,0.091,0.1396
Seal Beach,Aliso Viejo,0.1605,0.0662,0.1819,0.1795
Seal Beach,Anaheim,3.2095,3.64,3.638,2.8919
Seal Beach,Apple Valley,0.0229,0.0662,0,0.0199
Seal Beach,Arcadia,0.1834,0.1324,0.1364,0.2194
Seal Beach,Artesia,0.149,0.0662,0.2274,0.1396
Seal Beach,Azusa,0.1605,0,0.1364,0.2194
Seal Beach,Baldwin Park,0.1834,0.1985,0.091,0.2194
Seal Beach,Banning,0,0,0,0
Seal Beach,Barstow,0.0115,0,0,0.0199
Seal Beach,Beaumont,0.0115,0,0.0455,0
Seal Beach,Bell,0.1605,0.1324,0.1364,0.1795
Seal Beach,Bell Gardens,0.149,0.3309,0.091,0.1197
Seal Beach,Bellflower,0.7909,0.1324,0.6821,1.0371
Seal Beach,Beverly Hills,0.2063,0.0662,0.2729,0.2194
Seal Beach,Big Bear Lake,0.0115,0.0662,0,0
Seal Beach,Blythe,0.0344,0.0662,0,0.0399
Seal Beach,Bradbury,0,0,0,0
Seal Beach,Brawley,0,0,0,0
Seal Beach,Brea,0.7221,0.3971,0.864,0.7579
Seal Beach,Buena Park,0.768,0.6618,1.1369,0.6382
Seal Beach,Burbank,0.6304,1.1913,0.4093,0.5584
Seal Beach,Calabasas,0.0459,0.1985,0.0455,0
Seal Beach,Calexico,0.0115,0,0.0455,0
Seal Beach,Calimesa,0,0,0,0
Seal Beach,Calipatria,0,0,0,0
Seal Beach,Camarillo,0.0802,0.1985,0.0455,0.0598
Seal Beach,Canyon Lake,0,0,0,0
Seal Beach,Carlsbad,0.1834,0.3309,0.2729,0.0997
Seal Beach,Carson,1.1807,0.9265,0.955,1.3562
Seal Beach,Cathedral City,0.0344,0.0662,0,0.0399
Seal Beach,Cerritos,1.238,0.8604,1.0914,1.416
Seal Beach,Chino,0.2866,0.1324,0.4093,0.2792
Seal Beach,Chino Hills,0.1376,0.0662,0.4093,0.0399
Seal Beach,Chula Vista,0.0688,0,0.1364,0.0598
Seal Beach,Claremont,0.1146,0.1324,0.1364,0.0997
