home_city,work_city,all_worker_ratio,low_income_worker_ratio,medium_income_worker_ratio,high_income_worker_ratio
Stanton,Adelanto,0.0133,0,0.0318,0
Stanton,Agoura Hills,0.0267,0,0.0635,0
Stanton,Alhambra,0.0933,0.135,0.0794,0.087
Stanton,Aliso Viejo,0.2598,0.135,0.1746,0.4175
Stanton,Anaheim,10.9601,11.8839,13.3355,7.881
Stanton,Apple Valley,0.0267,0.0338,0.0476,0
Stanton,Arcadia,0.1133,0.135,0.1588,0.0522
Stanton,Artesia,0.1799,0.2026,0.2064,0.1392
Stanton,Azusa,0.04,0.0338,0.0159,0.0696
Stanton,Baldwin Park,0.0733,0.0675,0.0953,0.0522
Stanton,Banning,0,0,0,0
Stanton,Barstow,0.0267,0,0.0476,0.0174
Stanton,Beaumont,0.02,0,0.0318,0.0174
Stanton,Bell,0.0533,0.1013,0.0476,0.0348
Stanton,Bell Gardens,0.06,0.0675,0.0953,0.0174
Stanton,Bellflower,0.3131,0.4389,0.254,0.3132
Stanton,Beverly Hills,0.08,0.1688,0.0318,0.087
Stanton,Big Bear Lake,0.0067,0,0.0159,0
Stanton,Blythe,0.0067,0,0,0.0174
Stanton,Bradbury,0,0,0,0
Stanton,Brawley,0,0,0,0
Stanton,Brea,1.2326,0.9115,1.3653,1.2526
Stanton,Buena Park,2.3986,3.7137,2.9052,1.1656
Stanton,Burbank,0.3265,0.2701,0.2223,0.4697
Stanton,Calabasas,0.0466,0,0.0159,0.1044
Stanton,Calexico,0,0,0,0
Stanton,Calimesa,0,0,0,0
Stanton,Calipatria,0,0,0,0
Stanton,Camarillo,0.0933,0.0338,0.127,0.087
Stanton,Canyon Lake,0,0,0,0
Stanton,Carlsbad,0.2199,0.2363,0.1746,0.261
Stanton,Carson,0.5197,0.3376,0.3969,0.7481
Stanton,Cathedral City,0.0133,0,0.0318,0
Stanton,Cerritos,1.046,1.0128,1.1748,0.9221
Stanton,Chino,0.1799,0.1688,0.127,0.2436
Stanton,Chino Hills,0.0999,0.0675,0.1588,0.0522
Stanton,Chula Vista,0.1266,0.2026,0.1588,0.0522
Stanton,Claremont,0.0267,0.0675,0.0318,0
Stanton,Coachella,0.0267,0.0675,0.0159,0.0174
Stanton,Colton,0.02,0.0338,0.0159,0.0174
Stanton,Commerce,0.2065,0.2363,0.2381,0.1566
Stanton,Compton,0.1466,0.3038,0.0953,0.1218
Stanton,Corona,0.4264,0.6077,0.3334,0.4349
Stanton,Coronado,0.02,0.0338,0.0318,0
Stanton,Costa Mesa,2.8583,2.7684,2.6353,3.1489
Stanton,Covina,0.1199,0.135,0.0953,0.1392
Stanton,Cudahy,0.0267,0.0675,0.0159,0.0174
Stanton,Culver City,0.2998,0.6752,0.2064,0.2088
Stanton,Cypress,2.1321,1.8906,1.7939,2.627
Stanton,Dana Point,0.0666,0.1013,0.0635,0.0522
Stanton,Del Mar,0.0133,0,0,0.0348
Stanton,Desert Hot Springs,0,0,0,0
Stanton,Diamond Bar,0.1333,0.0675,0.127,0.174
Stanton,Downey,0.2532,0.3376,0.2223,0.2436
Stanton,Duarte,0.0333,0.0338,0.0159,0.0522
Stanton,Eastvale,0.0333,0,0.0476,0.0348
Stanton,El Cajon,0.0533,0,0.0476,0.087
Stanton,El Centro,0.0067,0,0.0159,0
Stanton,El Monte,0.1532,0.135,0.1746,0.1392
Stanton,El Segundo,0.4131,0.135,0.0476,0.9569
Stanton,Encinitas,0.0666,0.0675,0.0318,0.1044
Stanton,Escondido,0.1599,0.2363,0.1588,0.1218
Stanton,Fillmore,0,0,0,0
Stanton,Fontana,0.1666,0.135,0.1905,0.1566
Stanton,Fountain Valley,1.6857,1.3167,1.8733,1.6701
Stanton,Fullerton,2.2387,2.4646,2.7147,1.6006
Stanton,Garden Grove,7.3423,9.5881,7.4456,6.0717
Stanton,Gardena,0.1199,0.1013,0.127,0.1218
Stanton,Glendale,0.3864,0.4051,0.3175,0.4523
Stanton,Glendora,0.06,0.0338,0.0794,0.0522
Stanton,Grand Terrace,0.0133,0,0.0159,0.0174
Stanton,Hawaiian Gardens,0.1732,0.1688,0.1905,0.1566
Stanton,Hawthorne,0.1932,0.2701,0.1111,0.2436
Stanton,Hemet,0.0067,0,0.0159,0
Stanton,Hermosa Beach,0.0067,0.0338,0,0
Stanton,Hesperia,0.02,0.0675,0,0.0174
Stanton,Hidden Hills,0.0067,0,0,0.0174
Stanton,Highland,0.0133,0.0338,0,0.0174
Stanton,Holtville,0,0,0,0
Stanton,Huntington Beach,4.7705,4.2876,5.6358,4.071
Stanton,Huntington Park,0.02,0,0.0318,0.0174
Stanton,Imperial,0,0,0,0
Stanton,Imperial Beach,0,0,0,0
Stanton,Indian Wells,0.0067,0,0,0.0174
Stanton,Indio,0.02,0,0.0159,0.0348
Stanton,Industry,0.4531,0.4051,0.3493,0.5915
Stanton,Inglewood,0.0999,0.1013,0.1111,0.087
Stanton,Irvine,6.3762,3.4099,5.5723,8.7857
Stanton,Irwindale,0.0666,0.0675,0.0476,0.087
Stanton,Jurupa Valley,0.1732,0.135,0.1905,0.174
Stanton,La Canada Flintridge,0.0133,0.0675,0,0
Stanton,La Habra,0.4597,0.709,0.508,0.2784
Stanton,La Habra Heights,0.0333,0.0675,0.0318,0.0174
Stanton,La Mesa,0.0267,0.0338,0.0476,0
Stanton,La Mirada,0.5863,0.6077,0.762,0.3827
Stanton,La Palma,0.3931,0.135,0.5556,0.3479
Stanton,La Puente,0.0533,0.1013,0.0635,0.0174
Stanton,La Quinta,0.04,0.0675,0.0635,0
Stanton,La Verne,0.0533,0.0675,0.0953,0
Stanton,Laguna Beach,0.0666,0.0338,0.0476,0.1044
Stanton,Laguna Hills,0.2199,0.135,0.2381,0.2436
Stanton,Laguna Niguel,0.2865,0.2701,0.2699,0.3132
Stanton,Laguna Woods,0.0733,0.0675,0.0794,0.0696
Stanton,Lake Elsinore,0.0533,0.1013,0.0635,0.0174
Stanton,Lake Forest,0.8595,0.5402,0.7303,1.1656
Stanton,Lakewood,0.3864,0.5402,0.3969,0.2958
Stanton,Lancaster,0.0666,0.0675,0.0476,0.087
Stanton,Lawndale,0.04,0,0.0635,0.0348
Stanton,Lemon Grove,0.0133,0,0.0159,0.0174
Stanton,Loma Linda,0.0133,0,0.0159,0.0174
Stanton,Lomita,0.0067,0.0338,0,0
Stanton,Long Beach,3.5579,3.6124,2.4925,4.6973
Stanton,Los Alamitos,0.9061,0.7765,0.7303,1.1656
Stanton,Los Angeles,5.3968,4.1188,4.1435,7.4287
Stanton,Lynwood,0.08,0.0675,0.0635,0.1044
Stanton,Malibu,0.0067,0,0.0159,0
Stanton,Manhattan Beach,0.08,0.0675,0.0794,0.087
Stanton,Maywood,0.02,0.0338,0.0318,0
Stanton,Menifee,0.0533,0.0338,0.0476,0.0696
Stanton,Mission Viejo,0.4797,0.5402,0.4604,0.4697
Stanton,Monrovia,0.0733,0.0338,0.0476,0.1218
Stanton,Montclair,0.0466,0.1013,0.0318,0.0348
Stanton,Montebello,0.0866,0.1013,0.0476,0.1218
Stanton,Monterey Park,0.0999,0.0338,0.0635,0.174
Stanton,Moorpark,0.0067,0,0.0159,0
Stanton,Moreno Valley,0.1133,0.3376,0.0318,0.087
Stanton,Murrieta,0.0999,0.1688,0.0953,0.0696
Stanton,National City,0.0133,0.0338,0.0159,0
Stanton,Needles,0,0,0,0
Stanton,Newport Beach,2.1854,1.553,2.2702,2.4182
Stanton,Norco,0.0933,0.0675,0.127,0.0696
Stanton,Norwalk,0.4797,0.5064,0.4445,0.5045
Stanton,Oceanside,0.0999,0.1013,0.0794,0.1218
Stanton,Ojai,0,0,0,0
Stanton,Ontario,0.4464,0.3714,0.4604,0.4697
Stanton,Orange,4.6372,4.1526,5.0008,4.4885
Stanton,Oxnard,0.1266,0.0675,0.1111,0.174
Stanton,Palm Desert,0.08,0.1688,0.0635,0.0522
Stanton,Palm Springs,0.0466,0.0675,0.0476,0.0348
Stanton,Palmdale,0.0933,0.2363,0.0476,0.0696
Stanton,Palos Verdes Estates,0,0,0,0
Stanton,Paramount,0.1999,0.1688,0.127,0.2958
Stanton,Pasadena,0.4197,0.3376,0.4445,0.4349
Stanton,Perris,0.02,0.0675,0,0.0174
Stanton,Pico Rivera,0.1266,0.3376,0.1111,0.0348
Stanton,Placentia,0.6596,0.4727,0.762,0.6437
Stanton,Pomona,0.2065,0.2701,0.1588,0.2262
Stanton,Port Hueneme,0.0067,0.0338,0,0
Stanton,Poway,0.0133,0,0,0.0348
Stanton,Rancho Cucamonga,0.2932,0.5064,0.254,0.2262
Stanton,Rancho Mirage,0.0133,0,0.0318,0
Stanton,Rancho Palos Verdes,0.0067,0,0,0.0174
Stanton,Rancho Santa Margarita,0.2199,0.2363,0.1905,0.2436
Stanton,Redlands,0.0333,0.0675,0.0318,0.0174
Stanton,Redondo Beach,0.1333,0.1013,0.0159,0.2784
Stanton,Rialto,0.0533,0.0338,0.0794,0.0348
Stanton,Riverside,0.613,0.5064,0.7779,0.4871
Stanton,Rolling Hills,0,0,0,0
Stanton,Rolling Hills Estates,0.0133,0.0338,0,0.0174
Stanton,Rosemead,0.1133,0.0338,0.1588,0.1044
Stanton,San Bernardino,0.2399,0.2026,0.1905,0.3132
Stanton,San Buenaventura,0.1133,0.135,0.1429,0.0696
Stanton,San Clemente,0.1266,0.0675,0.1111,0.174
Stanton,San Diego,1.166,1.1816,0.889,1.4614
Stanton,San Dimas,0.1066,0.135,0.0794,0.1218
Stanton,San Fernando,0.0133,0,0,0.0348
Stanton,San Gabriel,0.0466,0.0675,0.0159,0.0696
Stanton,San Jacinto,0,0,0,0
Stanton,San Juan Capistrano,0.1333,0.0338,0.1746,0.1392
