home_city,work_city,all_worker_ratio,low_income_worker_ratio,medium_income_worker_ratio,high_income_worker_ratio
Tustin,Adelanto,0.0148,0,0.0279,0.0113
Tustin,Agoura Hills,0.0236,0.0558,0.0186,0.0169
Tustin,Alhambra,0.0768,0.1117,0.0929,0.0564
Tustin,Aliso Viejo,0.8979,0.6329,0.6595,1.1231
Tustin,Anaheim,5.5913,5.901,6.9577,4.6673
Tustin,Apple Valley,0.0236,0.0558,0.0372,0.0056
Tustin,Arcadia,0.1152,0.1303,0.1393,0.0959
Tustin,Artesia,0.0236,0.0558,0.0279,0.0113
Tustin,Azusa,0.0679,0.1675,0.0372,0.0564
Tustin,Baldwin Park,0.065,0.0186,0.0464,0.0903
Tustin,Banning,0.0089,0.0372,0.0093,0
Tustin,Barstow,0.0118,0.0372,0.0093,0.0056
Tustin,Beaumont,0.0148,0.0186,0.0186,0.0113
Tustin,Bell,0.062,0.0372,0.0836,0.0564
Tustin,Bell Gardens,0.0207,0.0186,0.0279,0.0169
Tustin,Bellflower,0.1093,0.1862,0.065,0.1129
Tustin,Beverly Hills,0.1831,0.1675,0.1115,0.2314
Tustin,Big Bear Lake,0.0177,0,0.0186,0.0226
Tustin,Blythe,0.0089,0,0,0.0169
Tustin,Bradbury,0,0,0,0
Tustin,Brawley,0.003,0,0,0.0056
Tustin,Brea,1.0988,1.0983,1.2912,0.982
Tustin,Buena Park,0.5612,0.6515,0.7431,0.4233
Tustin,Burbank,0.3544,0.5212,0.1765,0.412
Tustin,Calabasas,0.0414,0.0745,0.0093,0.0508
Tustin,Calexico,0.0059,0.0186,0,0.0056
Tustin,Calimesa,0,0,0,0
Tustin,Calipatria,0.003,0,0,0.0056
Tustin,Camarillo,0.0561,0.1303,0.0557,0.0339
Tustin,Canyon Lake,0,0,0,0
Tustin,Carlsbad,0.3544,0.3909,0.3251,0.3612
Tustin,Carson,0.2333,0.2234,0.2229,0.2427
Tustin,Cathedral City,0.0266,0.0372,0.0186,0.0282
Tustin,Cerritos,0.4253,0.4281,0.4738,0.3951
Tustin,Chino,0.2895,0.242,0.288,0.3048
Tustin,Chino Hills,0.2363,0.2978,0.418,0.1072
Tustin,Chula Vista,0.0975,0.2606,0.0743,0.0621
Tustin,Claremont,0.0384,0.0931,0.0557,0.0113
Tustin,Coachella,0.0059,0.0186,0.0093,0
Tustin,Colton,0.0502,0.0745,0.0464,0.0451
Tustin,Commerce,0.1654,0.1303,0.2229,0.1411
Tustin,Compton,0.1181,0.1117,0.1208,0.1185
Tustin,Corona,0.9599,1.2658,0.9289,0.8861
Tustin,Coronado,0.0177,0.0558,0.0093,0.0113
Tustin,Costa Mesa,4.463,4.3373,5.0163,4.165
Tustin,Covina,0.1004,0.1117,0.0929,0.1016
Tustin,Cudahy,0.003,0,0,0.0056
Tustin,Culver City,0.189,0.4281,0.1115,0.1637
Tustin,Cypress,0.5435,0.4281,0.3344,0.7055
Tustin,Dana Point,0.2363,0.1675,0.3809,0.1693
Tustin,Del Mar,0.0059,0,0,0.0113
Tustin,Desert Hot Springs,0.0059,0,0,0.0113
Tustin,Diamond Bar,0.2717,0.2234,0.2601,0.2935
Tustin,Downey,0.1388,0.0931,0.0929,0.1806
Tustin,Duarte,0.0266,0.0186,0.0372,0.0226
Tustin,Eastvale,0.0945,0.1303,0.0929,0.0847
