home_city,work_city,all_worker_ratio,low_income_worker_ratio,medium_income_worker_ratio,high_income_worker_ratio
Unincorporated:Orange,Adelanto,0.0137,0.0119,0.0301,0.0068
Unincorporated:Orange,Agoura Hills,0.0235,0.0356,0.0301,0.017
Unincorporated:Orange,Alhambra,0.0704,0.1069,0.1279,0.034
Unincorporated:Orange,Aliso Viejo,1.1524,0.9859,0.6167,1.4424
Unincorporated:Orange,Anaheim,5.7836,6.5328,7.6264,4.7355
Unincorporated:Orange,Apple Valley,0.0274,0.0356,0.0602,0.0102
Unincorporated:Orange,Arcadia,0.1174,0.095,0.1655,0.1021
Unincorporated:Orange,Artesia,0.0391,0.095,0.0677,0.0102
Unincorporated:Orange,Azusa,0.0802,0.1069,0.0827,0.0714
Unincorporated:Orange,Baldwin Park,0.0822,0.1188,0.0752,0.0748
Unincorporated:Orange,Banning,0.0235,0.0475,0.0376,0.0102
Unincorporated:Orange,Barstow,0.0157,0.0356,0.0301,0.0034
Unincorporated:Orange,Beaumont,0.0176,0.0238,0.0301,0.0102
Unincorporated:Orange,Bell,0.0646,0.095,0.0827,0.0476
Unincorporated:Orange,Bell Gardens,0.0352,0.0594,0.0451,0.0238
Unincorporated:Orange,Bellflower,0.2152,0.3088,0.1203,0.2313
Unincorporated:Orange,Beverly Hills,0.1604,0.0594,0.2031,0.1701
Unincorporated:Orange,Big Bear Lake,0.0274,0.0356,0.0526,0.0136
Unincorporated:Orange,Blythe,0.0098,0,0,0.017
Unincorporated:Orange,Bradbury,0,0,0,0
Unincorporated:Orange,Brawley,0.0039,0,0.015,0
Unincorporated:Orange,Brea,0.9705,0.9265,1.0529,0.9457
Unincorporated:Orange,Buena Park,0.7455,1.1165,0.9251,0.5579
Unincorporated:Orange,Burbank,0.4363,0.7008,0.4137,0.3708
Unincorporated:Orange,Calabasas,0.0587,0.1307,0.0376,0.0476
Unincorporated:Orange,Calexico,0.0039,0,0.0075,0.0034
Unincorporated:Orange,Calimesa,0.002,0.0119,0,0
Unincorporated:Orange,Calipatria,0,0,0,0
Unincorporated:Orange,Camarillo,0.0685,0.0594,0.0827,0.0646
Unincorporated:Orange,Canyon Lake,0.0039,0,0.0075,0.0034
Unincorporated:Orange,Carlsbad,0.405,0.4989,0.3761,0.3912
Unincorporated:Orange,Carson,0.3913,0.3088,0.3008,0.4559
Unincorporated:Orange,Cathedral City,0.0117,0.0119,0.0075,0.0136
Unincorporated:Orange,Cerritos,0.5948,0.6414,0.6769,0.5443
Unincorporated:Orange,Chino,0.2094,0.1544,0.2557,0.2041
Unincorporated:Orange,Chino Hills,0.1233,0.2851,0.1128,0.0816
Unincorporated:Orange,Chula Vista,0.088,0.1544,0.1279,0.051
Unincorporated:Orange,Claremont,0.0704,0.1663,0.0602,0.0476
Unincorporated:Orange,Coachella,0.0039,0,0.015,0
Unincorporated:Orange,Colton,0.0274,0.0238,0.0677,0.0102
Unincorporated:Orange,Commerce,0.2485,0.2257,0.2557,0.2517
Unincorporated:Orange,Compton,0.135,0.1188,0.1655,0.1259
Unincorporated:Orange,Corona,0.8628,1.0453,0.9552,0.7688
Unincorporated:Orange,Coronado,0.0117,0.0356,0.015,0.0034
Unincorporated:Orange,Costa Mesa,3.557,3.207,3.7455,3.572
Unincorporated:Orange,Covina,0.1154,0.095,0.1655,0.0987
Unincorporated:Orange,Cudahy,0.0157,0.0594,0.0075,0.0068
Unincorporated:Orange,Culver City,0.2407,0.5583,0.1805,0.1769
Unincorporated:Orange,Cypress,0.7357,0.5583,0.5866,0.8539
Unincorporated:Orange,Dana Point,0.3502,0.4989,0.3836,0.2926
Unincorporated:Orange,Del Mar,0.0098,0.0238,0,0.0102
Unincorporated:Orange,Desert Hot Springs,0.0098,0.0356,0.0075,0.0034
Unincorporated:Orange,Diamond Bar,0.2622,0.19,0.1579,0.33
