home_city,work_city,all_worker_ratio,low_income_worker_ratio,medium_income_worker_ratio,high_income_worker_ratio
Villa Park,Adelanto,0,0,0,0
Villa Park,Agoura Hills,0,0,0,0
Villa Park,Alhambra,0.0414,0,0,0.0677
Villa Park,Aliso Viejo,0.6216,0.75,0.1866,0.7448
Villa Park,Anaheim,10.4434,10,10.2612,10.6297
Villa Park,Apple Valley,0,0,0,0
Villa Park,Arcadia,0.0414,0,0,0.0677
Villa Park,Artesia,0.1243,0.5,0.1866,0
Villa Park,Azusa,0,0,0,0
Villa Park,Baldwin Park,0,0,0,0
Villa Park,Banning,0,0,0,0
Villa Park,Barstow,0,0,0,0
Villa Park,Beaumont,0,0,0,0
Villa Park,Bell,0,0,0,0
Villa Park,Bell Gardens,0.0829,0.5,0,0
Villa Park,Bellflower,0.0829,0,0,0.1354
Villa Park,Beverly Hills,0.2901,0.25,0.5597,0.2031
Villa Park,Big Bear Lake,0.0414,0.25,0,0
Villa Park,Blythe,0.0414,0,0,0.0677
Villa Park,Bradbury,0,0,0,0
Villa Park,Brawley,0,0,0,0
Villa Park,Brea,1.6162,1.25,2.6119,1.3541
Villa Park,Buena Park,0.4559,0.5,0.3731,0.4739
Villa Park,Burbank,0.2487,0.5,0.1866,0.2031
Villa Park,Calabasas,0.0829,0,0,0.1354
Villa Park,Calexico,0,0,0,0
Villa Park,Calimesa,0,0,0,0
Villa Park,Calipatria,0,0,0,0
Villa Park,Camarillo,0,0,0,0
Villa Park,Canyon Lake,0,0,0,0
Villa Park,Carlsbad,0.2901,0.5,0.5597,0.1354
Villa Park,Carson,0.2072,0,0,0.3385
Villa Park,Cathedral City,0.0414,0.25,0,0
Villa Park,Cerritos,0.7045,0.75,0.3731,0.8125
Villa Park,Chino,0.5387,0.25,0.9328,0.4739
Villa Park,Chino Hills,0.2072,0.75,0.1866,0.0677
Villa Park,Chula Vista,0,0,0,0
Villa Park,Claremont,0.0414,0,0.1866,0
Villa Park,Coachella,0,0,0,0
Villa Park,Colton,0,0,0,0
Villa Park,Commerce,0.2487,0,0.3731,0.2708
Villa Park,Compton,0.1243,0,0.3731,0.0677
Villa Park,Corona,1.6991,1.5,1.306,1.8957
Villa Park,Coronado,0,0,0,0
