home_city,work_city,all_worker_ratio,low_income_worker_ratio,medium_income_worker_ratio,high_income_worker_ratio
Yorba Linda,Adelanto,0.0117,0,0.0368,0.0048
Yorba Linda,Agoura Hills,0.0146,0.0375,0,0.0145
Yorba Linda,Alhambra,0.2549,0.2623,0.3315,0.2228
Yorba Linda,Aliso Viejo,0.3692,0.2248,0.2578,0.4504
Yorba Linda,Anaheim,9.5661,9.7058,10.1645,9.2939
Yorba Linda,Apple Valley,0.0293,0.0375,0.0859,0.0048
Yorba Linda,Arcadia,0.2608,0.5996,0.3928,0.1211
Yorba Linda,Artesia,0.0938,0.0937,0.1596,0.0678
Yorba Linda,Azusa,0.252,0.3747,0.1841,0.247
Yorba Linda,Baldwin Park,0.2725,0.1499,0.3683,0.2664
Yorba Linda,Banning,0.0059,0,0.0123,0.0048
Yorba Linda,Barstow,0.0176,0.0937,0,0.0048
Yorba Linda,Beaumont,0.0117,0.0562,0,0.0048
Yorba Linda,Bell,0.1025,0.1312,0.1228,0.0872
Yorba Linda,Bell Gardens,0.085,0.0562,0.0614,0.1017
Yorba Linda,Bellflower,0.252,0.2623,0.2823,0.2373
Yorba Linda,Beverly Hills,0.2813,0.2623,0.3315,0.2664
Yorba Linda,Big Bear Lake,0.0234,0.0187,0.0491,0.0145
Yorba Linda,Blythe,0.0176,0.0375,0.0123,0.0145
Yorba Linda,Bradbury,0,0,0,0
Yorba Linda,Brawley,0.0029,0.0187,0,0
Yorba Linda,Brea,3.592,3.204,3.646,3.6711
Yorba Linda,Buena Park,0.8585,1.0118,0.847,0.8233
Yorba Linda,Burbank,0.6387,0.8432,0.6997,0.5618
Yorba Linda,Calabasas,0.0469,0,0.0614,0.0533
Yorba Linda,Calexico,0.0029,0,0,0.0048
Yorba Linda,Calimesa,0,0,0,0
Yorba Linda,Calipatria,0,0,0,0
Yorba Linda,Camarillo,0.041,0.0562,0.0491,0.0339
Yorba Linda,Canyon Lake,0.0234,0.0375,0.0246,0.0194
Yorba Linda,Carlsbad,0.1494,0.2248,0.1841,0.1162
Yorba Linda,Carson,0.6504,0.2998,0.6629,0.7361
Yorba Linda,Cathedral City,0.0029,0,0,0.0048
Yorba Linda,Cerritos,0.6739,0.9743,0.5892,0.6296
Yorba Linda,Chino,0.6211,0.7307,0.4788,0.649
Yorba Linda,Chino Hills,0.2988,0.4122,0.2823,0.2761
Yorba Linda,Chula Vista,0.0557,0.1312,0.0614,0.0339
Yorba Linda,Claremont,0.1904,0.2061,0.135,0.2083
Yorba Linda,Coachella,0.0059,0.0187,0,0.0048
Yorba Linda,Colton,0.0674,0.0187,0.0982,0.0678
Yorba Linda,Commerce,0.3955,0.3373,0.5033,0.3681
Yorba Linda,Compton,0.293,0.3185,0.4665,0.2179
Yorba Linda,Corona,1.4562,1.4428,1.3872,1.4868
Yorba Linda,Coronado,0.0059,0,0.0123,0.0048
Yorba Linda,Costa Mesa,2.0714,2.3047,2.2588,1.9372
Yorba Linda,Covina,0.2403,0.3747,0.3683,0.155
Yorba Linda,Cudahy,0.0264,0.0187,0.0123,0.0339
Yorba Linda,Culver City,0.2959,0.5246,0.2701,0.247
Yorba Linda,Cypress,0.6534,0.5059,0.4051,0.7894
Yorba Linda,Dana Point,0.1025,0.1686,0.1228,0.0775
Yorba Linda,Del Mar,0.0088,0.0187,0.0123,0.0048
Yorba Linda,Desert Hot Springs,0,0,0,0
Yorba Linda,Diamond Bar,0.5098,0.4122,0.3683,0.5909
Yorba Linda,Downey,0.4219,0.2811,0.3928,0.4698
Yorba Linda,Duarte,0.0762,0.0375,0.0614,0.092
Yorba Linda,Eastvale,0.1289,0.1686,0.0982,0.1308
Yorba Linda,El Cajon,0.0469,0.0375,0.0246,0.0581
Yorba Linda,El Centro,0.0176,0.0187,0,0.0242
Yorba Linda,El Monte,0.3076,0.431,0.5156,0.1937
Yorba Linda,El Segundo,1.043,0.2811,0.3437,1.5159
Yorba Linda,Encinitas,0.0205,0.0187,0.0123,0.0242
Yorba Linda,Escondido,0.0938,0.0937,0.1719,0.063
Yorba Linda,Fillmore,0,0,0,0
Yorba Linda,Fontana,0.4336,0.2623,0.491,0.4552
Yorba Linda,Fountain Valley,0.6973,0.6558,0.8225,0.6587
Yorba Linda,Fullerton,3.6272,3.1478,3.3636,3.8551
Yorba Linda,Garden Grove,1.002,1.1055,1.2153,0.8911
Yorba Linda,Gardena,0.167,0.2623,0.1841,0.1356
Yorba Linda,Glendale,0.5567,0.6558,0.5401,0.5376
Yorba Linda,Glendora,0.1963,0.3185,0.2701,0.1356
Yorba Linda,Grand Terrace,0.0029,0,0.0123,0
Yorba Linda,Hawaiian Gardens,0.0498,0.0562,0.0368,0.0533
Yorba Linda,Hawthorne,0.1992,0.1686,0.1719,0.2179
Yorba Linda,Hemet,0.0264,0.0375,0.0246,0.0242
Yorba Linda,Hermosa Beach,0.0322,0.1124,0.0368,0.0097
Yorba Linda,Hesperia,0.0234,0.0562,0.0246,0.0145
Yorba Linda,Hidden Hills,0,0,0,0
Yorba Linda,Highland,0.0029,0,0.0123,0
Yorba Linda,Holtville,0,0,0,0
Yorba Linda,Huntington Beach,1.5733,1.3865,1.5099,1.6466
Yorba Linda,Huntington Park,0.1143,0.1499,0.1105,0.1065
Yorba Linda,Imperial,0,0,0,0
Yorba Linda,Imperial Beach,0.0029,0.0187,0,0
Yorba Linda,Indian Wells,0.0029,0.0187,0,0
Yorba Linda,Indio,0.0322,0.0375,0.0737,0.0145
Yorba Linda,Industry,1.0167,0.5996,1.0803,1.0994
Yorba Linda,Inglewood,0.1465,0.1124,0.2087,0.1308
Yorba Linda,Irvine,6.2846,3.6912,4.5053,7.6569
Yorba Linda,Irwindale,0.1113,0.0375,0.0491,0.155
Yorba Linda,Jurupa Valley,0.2285,0.2811,0.221,0.2179
Yorba Linda,La Canada Flintridge,0.0439,0.0749,0.0737,0.0242
Yorba Linda,La Habra,0.6475,1.068,0.5033,0.5957
Yorba Linda,La Habra Heights,0.0059,0,0,0.0097
Yorba Linda,La Mesa,0.0205,0.0375,0.0246,0.0145
Yorba Linda,La Mirada,0.4893,0.4872,0.3069,0.5618
Yorba Linda,La Palma,0.1699,0.1874,0.0859,0.1986
Yorba Linda,La Puente,0.0527,0.0562,0.0368,0.0581
Yorba Linda,La Quinta,0.0117,0,0.0368,0.0048
Yorba Linda,La Verne,0.1494,0.2248,0.1596,0.1259
Yorba Linda,Laguna Beach,0.1143,0.1499,0.1228,0.1017
Yorba Linda,Laguna Hills,0.2783,0.2811,0.4297,0.2179
Yorba Linda,Laguna Niguel,0.1406,0.2248,0.2701,0.0678
Yorba Linda,Laguna Woods,0.0352,0.0375,0.0737,0.0194
Yorba Linda,Lake Elsinore,0.1084,0.1312,0.2087,0.063
Yorba Linda,Lake Forest,0.7559,0.787,0.577,0.8185
Yorba Linda,Lakewood,0.211,0.4684,0.1719,0.1598
Yorba Linda,Lancaster,0.0498,0.0749,0.0491,0.0436
Yorba Linda,Lawndale,0.0059,0.0187,0,0.0048
Yorba Linda,Lemon Grove,0.0205,0.0187,0.0368,0.0145
Yorba Linda,Loma Linda,0.0527,0.0187,0.0123,0.0775
Yorba Linda,Lomita,0.0059,0.0187,0.0123,0
Yorba Linda,Long Beach,1.9161,1.7051,1.9764,1.9469
Yorba Linda,Los Alamitos,0.2022,0.1499,0.1596,0.2325
Yorba Linda,Los Angeles,9.0621,6.9889,7.4024,10.2528
Yorba Linda,Lynwood,0.1231,0.1499,0.1228,0.1162
Yorba Linda,Malibu,0.0176,0.0375,0.0368,0.0048
Yorba Linda,Manhattan Beach,0.0996,0.2623,0.0614,0.0726
Yorba Linda,Maywood,0.0176,0.0187,0.0368,0.0097
Yorba Linda,Menifee,0.0732,0.0937,0.135,0.0436
Yorba Linda,Mission Viejo,0.4659,0.5434,0.6015,0.3923
Yorba Linda,Monrovia,0.2403,0.2998,0.3069,0.1986
Yorba Linda,Montclair,0.1729,0.2436,0.3192,0.0969
Yorba Linda,Montebello,0.1904,0.1312,0.2332,0.1889
Yorba Linda,Monterey Park,0.3399,0.2436,0.2578,0.3971
Yorba Linda,Moorpark,0.0059,0.0187,0.0123,0
Yorba Linda,Moreno Valley,0.1524,0.2998,0.2087,0.092
Yorba Linda,Murrieta,0.0879,0.2811,0.0859,0.0387
Yorba Linda,National City,0.0146,0.0187,0.0368,0.0048
Yorba Linda,Needles,0.0029,0.0187,0,0
Yorba Linda,Newport Beach,1.6993,1.2179,1.5468,1.884
Yorba Linda,Norco,0.2168,0.2061,0.1964,0.2276
Yorba Linda,Norwalk,0.3721,0.5809,0.2946,0.3487
Yorba Linda,Oceanside,0.0791,0.1312,0.1596,0.0339
Yorba Linda,Ojai,0.0029,0,0,0.0048
Yorba Linda,Ontario,1.4063,1.5739,1.5099,1.3222
Yorba Linda,Orange,4.2454,4.0847,4.4193,4.2183
Yorba Linda,Oxnard,0.085,0.1312,0.0982,0.0678
Yorba Linda,Palm Desert,0.0381,0.0937,0.0491,0.0194
Yorba Linda,Palm Springs,0.0381,0,0.0737,0.0339
Yorba Linda,Palmdale,0.1318,0.1312,0.0982,0.1453
Yorba Linda,Palos Verdes Estates,0.0059,0,0,0.0097
Yorba Linda,Paramount,0.3252,0.1124,0.3069,0.3874
Yorba Linda,Pasadena,0.8555,0.4872,0.847,0.9541
Yorba Linda,Perris,0.0703,0.0937,0.0982,0.0533
Yorba Linda,Pico Rivera,0.1729,0.1499,0.1596,0.184
Yorba Linda,Placentia,4.3655,6.2207,5.2664,3.5306
Yorba Linda,Pomona,0.6211,0.6745,0.491,0.6587
Yorba Linda,Port Hueneme,0.0176,0,0.0368,0.0145
Yorba Linda,Poway,0.0264,0,0.0368,0.0291
Yorba Linda,Rancho Cucamonga,0.6915,0.8057,0.5401,0.7216
Yorba Linda,Rancho Mirage,0.0088,0.0187,0.0123,0.0048
Yorba Linda,Rancho Palos Verdes,0.0146,0.0375,0,0.0145
Yorba Linda,Rancho Santa Margarita,0.2549,0.4122,0.3437,0.1792
Yorba Linda,Redlands,0.0908,0.1124,0.0737,0.092
Yorba Linda,Redondo Beach,0.2608,0.2248,0.1719,0.3051
Yorba Linda,Rialto,0.1289,0.2623,0.1228,0.0969
Yorba Linda,Riverside,1.4386,1.3303,1.3135,1.5159
Yorba Linda,Rolling Hills,0.0029,0,0,0.0048
Yorba Linda,Rolling Hills Estates,0.0645,0.0937,0.1473,0.0242
Yorba Linda,Rosemead,0.1494,0.2061,0.1841,0.1211
Yorba Linda,San Bernardino,0.3399,0.4122,0.3315,0.3245
Yorba Linda,San Buenaventura,0.0908,0.0749,0.1105,0.0872
Yorba Linda,San Clemente,0.211,0.2623,0.3437,0.1453
Yorba Linda,San Diego,0.9083,0.8994,0.9944,0.8766
Yorba Linda,San Dimas,0.3516,0.2623,0.2332,0.4213
Yorba Linda,San Fernando,0.0117,0,0.0123,0.0145
Yorba Linda,San Gabriel,0.082,0.0562,0.1596,0.0581
Yorba Linda,San Jacinto,0.0029,0,0,0.0048
Yorba Linda,San Juan Capistrano,0.1143,0.0749,0.135,0.1162
Yorba Linda,San Marcos,0.0791,0.0562,0.0614,0.092
Yorba Linda,San Marino,0.0205,0,0.0368,0.0194
Yorba Linda,Santa Ana,4.4095,2.8855,3.8915,5.0077
Yorba Linda,Santa Clarita,0.1641,0.4497,0.1841,0.0823
Yorba Linda,Santa Fe Springs,1.0665,0.4684,0.9698,1.2592
Yorba Linda,Santa Monica,0.2315,0.2248,0.2455,0.2276
Yorba Linda,Santa Paula,0.0059,0,0.0246,0
Yorba Linda,Santee,0.0205,0.0375,0.0123,0.0194
Yorba Linda,Seal Beach,0.2901,0.1312,0.135,0.3923
Yorba Linda,Sierra Madre,0.0117,0,0,0.0194
Yorba Linda,Signal Hill,0.1846,0.1124,0.1964,0.1986
Yorba Linda,Simi Valley,0.0938,0.2248,0.0614,0.0726
Yorba Linda,Solana Beach,0.0029,0,0.0123,0
Yorba Linda,South El Monte,0.1377,0.1499,0.1596,0.1259
Yorba Linda,South Gate,0.1963,0.0937,0.1841,0.2276
Yorba Linda,South Pasadena,0.0469,0.0937,0.0246,0.0436
Yorba Linda,Stanton,0.1231,0.1124,0.1596,0.1114
Yorba Linda,Temecula,0.1934,0.356,0.1596,0.1647
Yorba Linda,Temple City,0.0234,0.0375,0.0368,0.0145
Yorba Linda,Thousand Oaks,0.1231,0.2248,0.1228,0.0969
Yorba Linda,Torrance,0.9083,0.7307,0.7488,1.017
Yorba Linda,Tustin,1.172,1.4802,1.1908,1.0849
Yorba Linda,Twentynine Palms,0,0,0,0
Yorba Linda,Unincorporated:Imperial,0,0,0,0
Yorba Linda,Unincorporated:Los Angeles,1.8048,1.7051,2.0133,1.7484
Yorba Linda,Unincorporated:Orange,0.4102,0.5059,0.6261,0.3003
Yorba Linda,Unincorporated:Riverside,0.2373,0.2248,0.3928,0.1792
Yorba Linda,Unincorporated:San Bernardino,0.3076,0.4684,0.3192,0.2615
Yorba Linda,Unincorporated:San Diego,0.1172,0.1312,0.2087,0.0775
Yorba Linda,Unincorporated:Ventura,0.0527,0.1124,0.1228,0.0097
Yorba Linda,Upland,0.293,0.2811,0.4051,0.2518
Yorba Linda,Vernon,0.3926,0.1686,0.3192,0.4795
Yorba Linda,Victorville,0.0645,0.0937,0.0859,0.0484
Yorba Linda,Villa Park,0.0674,0.1124,0.0614,0.0581
Yorba Linda,Vista,0.0703,0.0375,0.1105,0.063
Yorba Linda,Walnut,0.2168,0.2061,0.2823,0.1937
Yorba Linda,West Covina,0.3399,0.5621,0.3806,0.2664
Yorba Linda,West Hollywood,0.1553,0.2248,0.1964,0.1211
Yorba Linda,Westlake Village,0.0234,0.0187,0.0246,0.0242
Yorba Linda,Westminster,0.3545,0.6745,0.491,0.2179
Yorba Linda,Westmorland,0,0,0,0
Yorba Linda,Whittier,0.5508,0.6183,0.5524,0.5327
Yorba Linda,Wildomar,0.0293,0,0.0246,0.0387
Yorba Linda,Yorba Linda,3.844,7.0826,5.1927,2.4748
Yorba Linda,Yucaipa,0.0088,0.0187,0,0.0097
Yorba Linda,Yucca Valley,0.0176,0.0187,0.0246,0.0145
