work_city,income_category,income_ratio,industry_category,industry_ratio
Adelanto,Low Income,17,Retail,3
Adelanto,Medium Income,36,Service,50
Adelanto,High Income,47,Other,47
Agoura Hills,Low Income,22,Retail,11
Agoura Hills,Medium Income,36,Service,62
Agoura Hills,High Income,42,Other,27
Alhambra,Low Income,27,Retail,20
Alhambra,Medium Income,42,Service,58
Alhambra,High Income,31,Other,22
Aliso Viejo,Low Income,15,Retail,8
Aliso Viejo,Medium Income,24,Service,49
Aliso Viejo,High Income,61,Other,43
Anaheim,Low Income,19,Retail,8
Anaheim,Medium Income,40,Service,56
Anaheim,High Income,41,Other,36
Apple Valley,Low Income,28,Retail,15
Apple Valley,Medium Income,42,Service,63
Apple Valley,High Income,30,Other,22
Arcadia,Low Income,25,Retail,16
Arcadia,Medium Income,41,Service,64
Arcadia,High Income,34,Other,20
Artesia,Low Income,29,Retail,16
Artesia,Medium Income,45,Service,67
Artesia,High Income,26,Other,17
Azusa,Low Income,23,Retail,7
Azusa,Medium Income,34,Service,52
Azusa,High Income,43,Other,41
Baldwin Park,Low Income,19,Retail,12
Baldwin Park,Medium Income,36,Service,59
Baldwin Park,High Income,45,Other,29
Banning,Low Income,29,Retail,12
Banning,Medium Income,41,Service,68
Banning,High Income,30,Other,20
Barstow,Low Income,34,Retail,24
Barstow,Medium Income,39,Service,65
Barstow,High Income,27,Other,11
Beaumont,Low Income,27,Retail,24
Beaumont,Medium Income,42,Service,49
Beaumont,High Income,31,Other,27
Bell,Low Income,22,Retail,5
Bell,Medium Income,53,Service,70
Bell,High Income,25,Other,25
Bell Gardens,Low Income,20,Retail,14
Bell Gardens,Medium Income,49,Service,60
Bell Gardens,High Income,31,Other,26
Bellflower,Low Income,27,Retail,9
Bellflower,Medium Income,37,Service,79
Bellflower,High Income,36,Other,12
Beverly Hills,Low Income,13,Retail,12
Beverly Hills,Medium Income,34,Service,66
Beverly Hills,High Income,53,Other,22
Big Bear Lake,Low Income,33,Retail,17
Big Bear Lake,Medium Income,44,Service,65
Big Bear Lake,High Income,23,Other,18
Blythe,Low Income,16,Retail,8
Blythe,Medium Income,21,Service,77
Blythe,High Income,63,Other,15
Bradbury,Low Income,27,Retail,0
